label	edp0	edp1	edp2	edp3	edp4	edp5	edp6	edp7	edp8	edp9	edp10	edp11	edp12	edp13	edp14	edp15	edp16	edp17	edp18	edp19
1	1.906510417	1.339322917	2.693489583	2.530989583	1.65546875	1.79140625	1.97578125	2.81015625	1.635677083	2.77578125	2.698177083	1.409114583	1.831510417	2.749739583	2.169010417	1.719010417	1.784635417	2.162239583	2.36796875	2.373177083
1	2.683333333	4.582291667	2.988541667	3.398958333	3.0890625	3.116666667	3.856770833	3.578645833	2.943229167	4.7625	4.176041667	3.440104167	3.947395833	3.719791667	3.705208333	2.945833333	3.1640625	3.4296875	3.211458333	3.972916667
1	2.361197917	2.145572917	1.88984375	1.976302083	1.501302083	2.348697917	1.83671875	2.720052083	1.73046875	2.18984375	1.97734375	1.454947917	1.402864583	1.795052083	1.879947917	1.551302083	1.123697917	1.765885417	2.22734375	2.051822917
1	1.625520833	2.102604167	3.3046875	2.535416667	1.734895833	2.359375	2.3921875	1.890104167	2.090104167	2.61875	3.003125	2.1515625	1.988541667	2.514583333	2.957291667	2.055729167	1.875520833	2.202604167	2.456770833	2.450520833
1	3.530729167	4.7	3.0984375	4.555208333	3.405729167	3.892708333	5.100520833	3.9875	3.084895833	4.363020833	4.913541667	3.763541667	5.352083333	5.093229167	5.047395833	3.188541667	3.795833333	3.792708333	3.844791667	4.077083333
1	2.732552083	4.600260417	2.78671875	3.287760417	3.11953125	2.959635417	3.91640625	3.676302083	2.734635417	4.736197917	4.158072917	3.382552083	3.890885417	3.727864583	3.93515625	2.879427083	3.01796875	3.395052083	3.312239583	4.14296875
1	2.159375	1.938541667	3.2046875	2.1390625	1.513020833	2.2265625	1.9328125	2.3890625	1.613020833	2.2828125	2.390625	1.969270833	1.93125	2.013020833	1.822395833	1.791145833	2.141666667	4.077604167	1.870833333	1.953645833
1	2.34453125	2.439322917	2.737239583	2.815885417	1.96171875	2.76171875	2.577864583	2.72421875	2.484635417	2.94609375	2.292447917	1.696614583	1.729427083	2.46484375	2.255989583	2.136197917	1.970572917	2.982552083	3.13359375	2.337760417
1	2.242708333	1.483333333	1.777604167	2.353645833	1.7	1.571875	1.3875	1.678125	1.213020833	1.661979167	1.828125	1.247395833	1.35	1.528645833	3.573958333	2.011979167	1.558854167	1.9296875	1.216145833	1.609895833
1	2.883072917	4.504947917	3.032552083	3.451302083	3.076822917	3.383072917	3.76171875	3.46640625	2.99609375	4.984635417	4.32421875	3.887760417	4.469010417	3.537760417	4.521614583	2.817447917	3.459635417	3.726822917	3.36796875	4.08671875
1	2.21640625	2.578385417	2.59765625	3.652864583	1.821614583	2.242447917	2.666927083	2.602864583	1.98984375	2.85390625	3.35703125	2.064322917	2.18671875	2.503385417	2.01640625	2.01796875	1.457552083	2.263802083	2.392447917	2.377864583
1	1.522395833	1.746875	2.249479167	2.584895833	1.645833333	2.177083333	2.642708333	2.063541667	1.499479167	2.289583333	2.6359375	2.21875	1.751041667	2.216145833	1.466666667	1.808333333	1.701041667	2.705208333	2.560416667	1.945833333
1	2.7625	4.434895833	3.172916667	3.886458333	3.126041667	3.456770833	3.894270833	3.568229167	3.155729167	4.242708333	4.161458333	4.0046875	4.123958333	3.859375	4.438020833	2.805729167	3.5390625	3.834895833	3.607291667	3.651041667
1	1.951302083	2.070572917	3.529947917	2.301302083	1.650260417	2.54296875	2.281510417	2.35859375	1.729947917	3.11328125	3.42421875	2.250260417	2.00390625	2.27109375	1.632552083	2.734114583	2.08203125	2.03671875	1.78515625	2.270052083
1	3.592708333	4.696875	3.152604167	4.361979167	3.4609375	3.7859375	4.965625	3.772916667	2.930729167	4.186458333	4.850520833	3.455729167	5.029166667	4.973958333	5.138020833	3.021875	3.5828125	3.720833333	3.583333333	3.8046875
1	1.97578125	1.22265625	2.21640625	2.811197917	1.679427083	1.596614583	2.56640625	1.768489583	1.242447917	2.10078125	2.20859375	1.540885417	1.432552083	1.909114583	2.133072917	1.97578125	1.534635417	2.662239583	1.429427083	1.954947917
