label	rpssm0	rpssm1	rpssm2	rpssm3	rpssm4	rpssm5	rpssm6	rpssm7	rpssm8	rpssm9	rpssm10	rpssm11	rpssm12	rpssm13	rpssm14	rpssm15	rpssm16	rpssm17	rpssm18	rpssm19	rpssm20	rpssm21	rpssm22	rpssm23	rpssm24	rpssm25	rpssm26	rpssm27	rpssm28	rpssm29	rpssm30	rpssm31	rpssm32	rpssm33	rpssm34	rpssm35	rpssm36	rpssm37	rpssm38	rpssm39	rpssm40	rpssm41	rpssm42	rpssm43	rpssm44	rpssm45	rpssm46	rpssm47	rpssm48	rpssm49	rpssm50	rpssm51	rpssm52	rpssm53	rpssm54	rpssm55	rpssm56	rpssm57	rpssm58	rpssm59	rpssm60	rpssm61	rpssm62	rpssm63	rpssm64	rpssm65	rpssm66	rpssm67	rpssm68	rpssm69	rpssm70	rpssm71	rpssm72	rpssm73	rpssm74	rpssm75	rpssm76	rpssm77	rpssm78	rpssm79	rpssm80	rpssm81	rpssm82	rpssm83	rpssm84	rpssm85	rpssm86	rpssm87	rpssm88	rpssm89	rpssm90	rpssm91	rpssm92	rpssm93	rpssm94	rpssm95	rpssm96	rpssm97	rpssm98	rpssm99	rpssm100	rpssm101	rpssm102	rpssm103	rpssm104	rpssm105	rpssm106	rpssm107	rpssm108	rpssm109
1	5.115646259	4.067743764	4.734410431	3.621315193	3.839852608	4.218820862	2.41893424	2.580498866	5.087301587	4.566893424	5.074546485	3.770408163	4.163265306	2.576814059	3.607142857	4.004251701	2.492346939	2.599489796	5.375	4.446428571	5.428287982	4.653061224	5.010204082	3.01899093	3.464285714	3.956632653	2.900510204	3.364795918	5.242346939	5.272959184	3.674603175	3.576814059	4.39654195	2.121315193	2.52239229	2.571428571	2.305555556	3.443310658	3.89569161	3.919501134	3.54053288	3.602040816	4.035714286	2.865929705	3.867346939	3.851190476	2.676020408	3.017857143	4.966836735	3.43622449	3.256235828	3.477040816	3.912414966	3.088435374	4.296768707	4.397959184	3.209183673	3.129251701	4.982993197	4.136054422	2.589852608	2.489795918	2.887755102	2.122732426	2.908163265	2.931122449	1.528061224	1.24744898	3.706632653	2.778061224	3.124716553	3.640306122	4.43622449	2.943310658	2.528061224	2.853741497	1.331632653	1.244897959	3.683673469	3.204081633	4.400226757	5.793367347	7.160714286	4.538548753	4.191326531	3.578231293	3.015306122	4.663265306	6.469387755	4.295918367	4.876417234	5.191326531	5.426020408	4.048752834	3.528061224	3.476190476	3.066326531	3.56122449	5.163265306	4.193877551	4.207155556	3.8925	4.9544	1.8356	3.4981	3.584177778	1.2056	1.0964	6.5456	4.5264
1	3.078231293	5.154761905	6.222789116	4.653061224	4.941326531	6.142857143	8.110544218	2.602040816	7.336734694	5.136054422	6.130952381	6.857142857	7.397959184	3.154761905	4.354591837	5.357709751	6.602040816	5.545918367	7.12755102	6.586734694	7.382653061	7.785714286	8.331632653	4.593537415	5.349489796	5.816893424	7.489795918	6.658163265	7.617346939	7.219387755	5.16893424	5.488095238	5.661564626	2.804988662	4.536564626	4.691609977	6.920068027	5.200680272	5.608843537	5.258503401	4.142006803	6.048469388	5.926020408	4.220238095	4.683673469	5.266723356	7.262755102	4.573979592	7.094387755	6.012755102	6.383219955	8.680839002	8.41553288	5.017006803	5.327947846	6.012471655	6.939342404	7.53968254	7.954648526	7.631519274	7.701530612	8.492346939	8.191326531	5.00085034	6.025510204	6.203798186	7.492346939	8.487244898	10.36479592	7.43622449	3.340136054	6.62755102	7.137755102	4.955782313	4.155612245	5.66553288	8.62755102	1.204081633	5.775510204	4.234693878	7.085034014	7.954081633	9.974489796	6.891156463	6.135204082	6.811791383	8.698979592	6.418367347	8.234693878	7.734693878	5.612244898	7.362244898	7.219387755	6.744897959	6.951530612	8.611111111	11.04591837	4.591836735	6.632653061	6.908163265	4.324488889	7.3389	8.8056	2.775155556	4.2489	6.1876	8.0109	1.6096	8.3744	6.92
1	2.925170068	3.501417234	4.196995465	3.353741497	3.089002268	4.140589569	3.72845805	2.100907029	3.675736961	3.447845805	2.986394558	2.941326531	3.49744898	2.294784581	2.479591837	3.441043084	3.37244898	2.234693878	5.010204082	3.214285714	3.745748299	3.566326531	4.030612245	2.85345805	3.691326531	4.312641723	4.43622449	2.670918367	5.742346939	3.609693878	3.634920635	2.630668934	3.394274376	0.954648526	2.595804989	2.188208617	2.463151927	2.400226757	4.349206349	2.046485261	3.246598639	2.56377551	3.660714286	2.670634921	2.586734694	2.660430839	2.448979592	2.852040816	4.964285714	3.678571429	3.572562358	2.593253968	3.60175737	2.717687075	3.051587302	2.776643991	2.119614512	3.294784581	5.801587302	3.818594104	4.084183673	2.775510204	3.392857143	2.10685941	3.232142857	2.674886621	2.645408163	2.941326531	5.50255102	3.461734694	2.210884354	2.696428571	3.201530612	2.111111111	2.658163265	3.16553288	3.62755102	1.132653061	4.183673469	1.785714286	5	5.318877551	5.640306122	4.233560091	5.31122449	4.98185941	5.668367347	4.602040816	6.530612245	4.867346939	3.513605442	3.084183673	4.232142857	3.100907029	3.147959184	2.85600907	2.382653061	2.979591837	5.989795918	3.204081633	2.609955556	2.8929	4.3116	1.420622222	2.68	3.138888889	2.8596	1.5344	6.8736	3.3776
1	4.238095238	4.592970522	4.377834467	2.804988662	4.578514739	3.965986395	3.931405896	2.218820862	2.64399093	5.569160998	5.252834467	4.596938776	4.405612245	2.434240363	4.905612245	4.645124717	3.68877551	3.632653061	4.510204082	6.632653061	5.238378685	5.216836735	5.265306122	2.885770975	5.086734694	4.725907029	3.808673469	4.043367347	4.594387755	6.655612245	2.76984127	3.498866213	4.096655329	1.710884354	2.821145125	2.572562358	2.776077098	2.73015873	2.903628118	3.420634921	4.041950113	5.010204082	5.81377551	3.753968254	4.119897959	4.036281179	4.397959184	4.183673469	3.989795918	6	3.945578231	4.424036281	5.314342404	3.471655329	3.950396825	3.836734694	4.22845805	3.577097506	4.009070295	5.199546485	3.805555556	4.479591837	4.778061224	3.174036281	3.823979592	3.983560091	4.31122449	3.392857143	3.647959184	3.994897959	2.637188209	4.448979592	4.482142857	2.097505669	3.676020408	3.219954649	2.841836735	1.112244898	1.346938776	3.653061224	2.504535147	4.785714286	5.073979592	3.243764172	4.073979592	3.849206349	4.025510204	1.714285714	1.867346939	3.989795918	4.297052154	6.112244898	7.104591837	5.274376417	5.625	5.267573696	4.923469388	4.765306122	4.87755102	6.326530612	3.573377778	4.5449	5.3204	1.787955556	4.5529	4.0336	3.5029	1.2164	1.8	6.3684
1	5.222222222	8.010770975	5.826247166	5.995464853	4.554138322	8.529478458	6.841553288	3.767573696	8.376417234	9.026077098	9.878117914	10.98979592	8.823979592	5.133219955	6.298469388	7.947278912	6.956632653	8.913265306	9.637755102	8.178571429	7.639172336	9.788265306	7.744897959	4.846655329	4.918367347	6.18452381	6.617346939	7.089285714	8.354591837	8.221938776	5.598639456	7.574263039	6.991780045	4.410430839	4.379535147	5.411564626	6.248582766	7.252834467	6.426303855	8.327664399	4.776077098	7.887755102	6.00255102	4.820294785	3.589285714	6.678571429	6.359693878	4.352040816	6.505102041	7.31122449	8.162131519	10.49603175	8.450963719	6.037414966	5.399943311	6.850340136	7.071712018	7.405895692	8.239229025	8.814058957	9.555839002	11.39030612	9.612244898	5.681689342	6.31122449	8.107993197	8.331632653	8.196428571	9.155612245	8.808673469	3.5430839	8.954081633	6.670918367	6.325396825	3.466836735	6.551020408	6.941326531	2	5.806122449	7.510204082	7.277777778	9.515306122	9.844387755	8.236961451	5.783163265	7.863945578	8.961734694	7.102040816	8.295918367	11.93877551	9.549886621	11.8622449	8.885204082	8.515873016	8.660714286	10.88435374	11.33928571	6.857142857	7.275510204	12.44897959	5.886622222	10.2661	8.2716	3.531377778	4.0325	7.991111111	8.2825	1.7476	8.6484	11.09
1	3.056689342	5.308106576	6.155895692	4.426303855	4.718820862	5.925170068	7.592120181	2.797052154	7.195011338	5.667800454	6.70606576	7.489795918	8.017857143	3.033730159	4.206632653	5.037131519	5.93877551	5.875	6.895408163	6.885204082	7.70606576	8.306122449	8.946428571	4.588151927	5.181122449	5.54053288	6.816326531	7.109693878	7.650510204	7.99744898	5.56462585	5.516723356	5.990362812	3.058956916	4.628117914	4.47845805	6.627267574	5.332199546	5.804988662	5.883219955	4.188208617	5.910714286	5.607142857	3.971655329	4.806122449	5.339002268	7.278061224	4.387755102	7.214285714	6.12244898	5.531746032	8.049603175	7.649092971	4.819727891	5.212018141	6.212018141	7.177154195	6.657596372	7.756235828	7.433106576	7.195011338	8.176020408	7.704081633	5.29138322	6.066326531	6.209750567	7.267857143	7.989795918	10.34693878	7.571428571	3.572562358	6.558673469	7.086734694	4.400226757	3.806122449	5.087301587	7.757653061	1.367346939	5.765306122	4.693877551	7.011337868	7.283163265	9.454081633	6.886621315	6.56122449	7.015873016	8.50255102	6.234693878	8.530612245	8.295918367	5.783446712	7.456632653	7.607142857	6.787981859	7.62244898	9.066893424	11.26785714	5.020408163	7.602040816	8.142857143	4.125733333	7.1776	8.6781	3.046266667	4.28	5.6996	7.7929	1.76	8.3536	7.84
1	4.735827664	3.613378685	4.178004535	4.359410431	4.572562358	4.131519274	3.762188209	3.290249433	6.069160998	4.286848073	5.102040816	4.112244898	4.704081633	2.950113379	2.505102041	2.419501134	2.533163265	3.37755102	4.153061224	3.459183673	5.37670068	4.630102041	4.701530612	3.231575964	2.471938776	2.741780045	2.908163265	3.135204082	3.50255102	3.125	4.180272109	3.712018141	3.739229025	1.674603175	3.490929705	2.975056689	3.051303855	2.344671202	2.640589569	2.797052154	4.469387755	3.586734694	3.719387755	2.681405896	4.081632653	2.742630385	2.375	2.673469388	4.744897959	3.040816327	3.887755102	3.065759637	3.178004535	2.339002268	4.014739229	2.657596372	2.962868481	2.0861678	4.300453515	2.742630385	2.974489796	3.816326531	3.831632653	2.543650794	3.994897959	3.217120181	3.420918367	2.535714286	4.668367347	3.352040816	3.336734694	3.418367347	3.153061224	2.606575964	2.816326531	2.630385488	2.74744898	1.204081633	2.479591837	1.663265306	4.979591837	4.56122449	3.846938776	3.922902494	5.510204082	4.851473923	4.920918367	2.948979592	5.530612245	3.775510204	3.765306122	3.510204082	2.540816327	3.041950113	4.306122449	3.433106576	3.818877551	1.469387755	3.704081633	2.275510204	4.839155556	3.6209	3.7889	1.926266667	3.7481	2.8436	3.1716	1.2516	5.2244	2.4816
1	4.899092971	4.617346939	5.942176871	4.242630385	4.708333333	4.37755102	4.446428571	3.510204082	4.346938776	4.153061224	3.958900227	4.415816327	5.701530612	2.906746032	3.020408163	3.046201814	3.076530612	3.487244898	4.25255102	3.130102041	5.076247166	5.645408163	6.926020408	3.979875283	4.102040816	4.275793651	4.107142857	5.176020408	5.890306122	5.094387755	4.764172336	3.083333333	3.979591837	1.81292517	3.803571429	3.83446712	2.483843537	3.676870748	4.329931973	3.870748299	5.360260771	3.283163265	4.104591837	2.638038549	3.862244898	3.757086168	3.494897959	3.599489796	4.49744898	3.466836735	5.544217687	2.735260771	3.383219955	3.239229025	4.860260771	5.077097506	4.635770975	4.087301587	5.794784581	4.253968254	4.336451247	3.201530612	3.956632653	2.342120181	3.474489796	3.838718821	3.484693878	2.43622449	4.405612245	2.81377551	3.655328798	3.68877551	5.183673469	3.878684807	3.987244898	4.222222222	3.181122449	1.989795918	3.724489796	2.673469388	4.5430839	2.62755102	4.459183673	4.820861678	6.068877551	6.524943311	4.201530612	3.408163265	5.693877551	4.540816327	3.219954649	2.321428571	3.336734694	3.14399093	3.823979592	4.439909297	2.956632653	1.255102041	3.520408163	1.959183673	4.574266667	3.1125	5.7401	2.222222222	3.6325	4.147733333	3.0536	1.5956	5.1776	3.1136
1	0.70521542	2.929138322	3.345804989	4.393424036	1.814342404	2.835600907	1.969104308	2.424036281	2.546485261	6.992063492	3.109410431	3.678571429	4.229591837	3.39399093	2.487244898	2.748866213	1.880102041	3.841836735	3.260204082	5.331632653	3.549886621	4.132653061	4.632653061	3.613378685	2.573979592	2.702947846	2.007653061	4.37755102	3.653061224	4.244897959	4.414965986	3.132086168	3.157596372	1.538548753	2.700963719	2.656462585	2.593820862	3.365079365	3.324263039	5.280045351	1.429988662	1.721938776	2.038265306	2.558106576	1.658163265	2.412981859	2.224489796	1.839285714	2.349489796	7.961734694	2.263038549	2.174036281	2.318594104	2.103174603	2.008219955	2.241496599	2.435090703	2.267573696	2.471655329	7.631519274	1.97930839	2.339285714	2.676020408	1.838718821	1.479591837	1.812641723	1.755102041	2.170918367	1.946428571	6.650510204	2.454648526	3.413265306	3.867346939	3.882086168	2.420918367	3.002267574	1.732142857	3.418367347	3.5	6.163265306	2.253968254	2.586734694	2.459183673	2.681405896	2.625	3.182539683	2.946428571	2.428571429	3.06122449	7.62244898	7.590702948	7.107142857	5.714285714	5.337868481	6.706632653	6.138321995	7.017857143	6.704081633	5.826530612	11.24489796	0.5796	3.0696	3.3641	1.632044444	1.7409	2.262222222	1.6869	3.0484	3.1076	9.6276
1	3.420634921	6.886337868	7.988378685	4.529478458	3.872732426	5.515873016	6.291099773	3.446712018	6.4569161	7.263038549	6.805555556	7.380102041	7.951530612	3.691043084	4.890306122	5.799886621	6.237244898	7.025510204	8.433673469	9.647959184	7.339569161	7.711734694	8.237244898	4.827097506	5.619897959	6.571995465	7.75255102	6.882653061	7.760204082	10.3622449	5.041950113	6.100623583	6.240079365	2.679138322	4.141439909	4.549886621	5.52239229	4.746031746	5.184807256	7.541950113	4.385487528	7.369897959	7.043367347	3.536281179	3.859693878	5.036281179	5.839285714	4.081632653	6.142857143	6.755102041	5.861678005	8.805839002	8.009920635	4.394557823	5.016723356	6.306122449	6.969104308	5.869614512	7.702947846	6.998866213	7.563208617	9.576530612	8.989795918	3.948696145	5.928571429	6.254818594	6.969387755	7.181122449	8.221938776	7.783163265	3.548752834	7.691326531	7.966836735	4.335600907	3.191326531	4.85260771	6.609693878	2.010204082	4.918367347	7.193877551	6.70521542	9.323979592	10.49744898	6.464852608	5.701530612	6.512471655	7.477040816	5.867346939	7.734693878	9.153061224	9.20861678	10.75255102	10.42602041	9.097505669	8.772959184	10.28117914	11.375	8.418367347	9	13.92857143	4.100266667	7.7725	8.8781	2.5776	4.0596	6.208888889	7.5469	2.13	7.76	12.6256
