label	hydrophobicity_PRAM900101.G1	hydrophobicity_PRAM900101.G2	hydrophobicity_PRAM900101.G3	hydrophobicity_ARGP820101.G1	hydrophobicity_ARGP820101.G2	hydrophobicity_ARGP820101.G3	hydrophobicity_ZIMJ680101.G1	hydrophobicity_ZIMJ680101.G2	hydrophobicity_ZIMJ680101.G3	hydrophobicity_PONP930101.G1	hydrophobicity_PONP930101.G2	hydrophobicity_PONP930101.G3	hydrophobicity_CASG920101.G1	hydrophobicity_CASG920101.G2	hydrophobicity_CASG920101.G3	hydrophobicity_ENGD860101.G1	hydrophobicity_ENGD860101.G2	hydrophobicity_ENGD860101.G3	hydrophobicity_FASG890101.G1	hydrophobicity_FASG890101.G2	hydrophobicity_FASG890101.G3	normwaalsvolume.G1	normwaalsvolume.G2	normwaalsvolume.G3	polarity.G1	polarity.G2	polarity.G3	polarizability.G1	polarizability.G2	polarizability.G3	charge.G1	charge.G2	charge.G3	secondarystruct.G1	secondarystruct.G2	secondarystruct.G3	solventaccess.G1	solventaccess.G2	solventaccess.G3
1	0.305498982	0.439918534	0.254582485	0.49694501	0.211812627	0.291242363	0.594704684	0.126272912	0.279022403	0.456211813	0.219959267	0.323828921	0.582484725	0.279022403	0.138492872	0.419551935	0.33808554	0.242362525	0.289205703	0.293279022	0.417515275	0.439918534	0.32586558	0.234215886	0.323828921	0.348268839	0.32790224	0.417515275	0.348268839	0.234215886	0.063136456	0.806517312	0.130346232	0.299389002	0.32790224	0.372708758	0.425661914	0.305498982	0.268839104
1	0.376569038	0.286610879	0.336820084	0.407949791	0.29916318	0.292887029	0.525104603	0.190376569	0.284518828	0.474895397	0.161087866	0.364016736	0.569037657	0.324267782	0.106694561	0.443514644	0.228033473	0.328451883	0.40167364	0.167364017	0.430962343	0.280334728	0.49790795	0.221757322	0.364016736	0.246861925	0.389121339	0.253138075	0.525104603	0.221757322	0.133891213	0.719665272	0.146443515	0.510460251	0.276150628	0.213389121	0.418410042	0.376569038	0.205020921
1	0.258010118	0.403035413	0.338954469	0.350758853	0.349072513	0.300168634	0.588532884	0.124789207	0.286677909	0.298482293	0.340640809	0.360876897	0.485666105	0.426644182	0.087689713	0.330522766	0.344013491	0.325463744	0.291736931	0.193929174	0.514333895	0.404721754	0.39460371	0.200674536	0.360876897	0.36762226	0.271500843	0.364249578	0.435075885	0.200674536	0.097807757	0.81618887	0.086003373	0.532883642	0.209106239	0.258010118	0.558178752	0.258010118	0.18381113
1	0.346969697	0.253030303	0.4	0.387878788	0.239393939	0.372727273	0.459090909	0.175757576	0.365151515	0.433333333	0.125757576	0.440909091	0.504545455	0.298484848	0.196969697	0.41969697	0.187878788	0.392424242	0.307575758	0.196969697	0.495454545	0.240909091	0.507575758	0.251515152	0.440909091	0.198484848	0.360606061	0.209090909	0.539393939	0.251515152	0.098484848	0.809090909	0.092424242	0.421212121	0.340909091	0.237878788	0.48030303	0.346969697	0.172727273
1	0.361607143	0.330357143	0.308035714	0.430803571	0.328125	0.241071429	0.604910714	0.162946429	0.232142857	0.428571429	0.25	0.321428571	0.587053571	0.339285714	0.073660714	0.419642857	0.28125	0.299107143	0.392857143	0.194196429	0.412946429	0.370535714	0.428571429	0.200892857	0.321428571	0.310267857	0.368303571	0.332589286	0.466517857	0.200892857	0.118303571	0.75	0.131696429	0.513392857	0.225446429	0.261160714	0.439732143	0.361607143	0.198660714
1	0.315909091	0.413636364	0.270454545	0.35	0.429545455	0.220454545	0.631818182	0.159090909	0.209090909	0.35	0.354545455	0.295454545	0.525	0.420454545	0.054545455	0.397727273	0.343181818	0.259090909	0.365909091	0.159090909	0.475	0.415909091	0.363636364	0.220454545	0.295454545	0.370454545	0.334090909	0.377272727	0.402272727	0.220454545	0.136363636	0.756818182	0.106818182	0.570454545	0.225	0.204545455	0.477272727	0.315909091	0.206818182
1	0.380952381	0.365800866	0.253246753	0.435064935	0.331168831	0.233766234	0.675324675	0.11038961	0.214285714	0.428571429	0.274891775	0.296536797	0.571428571	0.376623377	0.051948052	0.448051948	0.318181818	0.233766234	0.380952381	0.19047619	0.428571429	0.37012987	0.402597403	0.227272727	0.296536797	0.316017316	0.387445887	0.350649351	0.422077922	0.227272727	0.119047619	0.75974026	0.121212121	0.556277056	0.214285714	0.229437229	0.398268398	0.380952381	0.220779221
1	0.350980392	0.376470588	0.27254902	0.439215686	0.317647059	0.243137255	0.598039216	0.160784314	0.241176471	0.462745098	0.223529412	0.31372549	0.57254902	0.343137255	0.084313725	0.429411765	0.3	0.270588235	0.396078431	0.176470588	0.42745098	0.37254902	0.425490196	0.201960784	0.31372549	0.323529412	0.362745098	0.345098039	0.452941176	0.201960784	0.107843137	0.798039216	0.094117647	0.48627451	0.250980392	0.262745098	0.409803922	0.350980392	0.239215686
1	0.355029586	0.376725838	0.268244576	0.435897436	0.327416174	0.236686391	0.635108481	0.145956607	0.218934911	0.451676529	0.25443787	0.293885602	0.585798817	0.353057199	0.061143984	0.437869822	0.311637081	0.250493097	0.378698225	0.207100592	0.414201183	0.394477318	0.398422091	0.207100592	0.293885602	0.339250493	0.366863905	0.345167653	0.447731755	0.207100592	0.104536489	0.792899408	0.102564103	0.512820513	0.218934911	0.268244576	0.414201183	0.355029586	0.230769231
1	0.336980306	0.374179431	0.288840263	0.387308534	0.380743982	0.231947484	0.599562363	0.172866521	0.227571116	0.411378556	0.280087527	0.308533917	0.566739606	0.354485777	0.078774617	0.409190372	0.306345733	0.284463895	0.380743982	0.185995624	0.433260394	0.398249453	0.387308534	0.214442013	0.308533917	0.345733042	0.345733042	0.354485777	0.43107221	0.214442013	0.135667396	0.746170678	0.118161926	0.503282276	0.245076586	0.251641138	0.439824945	0.336980306	0.223194748
1	0.35619469	0.398230088	0.245575221	0.444690265	0.314159292	0.241150442	0.64380531	0.121681416	0.234513274	0.446902655	0.269911504	0.283185841	0.581858407	0.351769912	0.066371681	0.435840708	0.325221239	0.238938053	0.39380531	0.188053097	0.418141593	0.415929204	0.380530973	0.203539823	0.283185841	0.347345133	0.369469027	0.382743363	0.413716814	0.203539823	0.10840708	0.761061947	0.130530973	0.504424779	0.194690265	0.300884956	0.413716814	0.35619469	0.230088496
1	0.323529412	0.43438914	0.242081448	0.463800905	0.273755656	0.262443439	0.619909502	0.119909502	0.260180995	0.502262443	0.20361991	0.294117647	0.581447964	0.346153846	0.07239819	0.407239819	0.352941176	0.239819005	0.373303167	0.208144796	0.418552036	0.42760181	0.402714932	0.169683258	0.294117647	0.375565611	0.330316742	0.402714932	0.42760181	0.169683258	0.092760181	0.800904977	0.106334842	0.447963801	0.246606335	0.305429864	0.395927602	0.323529412	0.280542986
1	0.346153846	0.314479638	0.339366516	0.366515837	0.321266968	0.312217195	0.524886878	0.167420814	0.307692308	0.416289593	0.219457014	0.364253394	0.527149321	0.341628959	0.131221719	0.425339367	0.239819005	0.334841629	0.359728507	0.167420814	0.472850679	0.298642534	0.481900452	0.219457014	0.364253394	0.271493213	0.364253394	0.260180995	0.520361991	0.219457014	0.124434389	0.762443439	0.113122172	0.538461538	0.2760181	0.185520362	0.459276018	0.346153846	0.194570136
1	0.363425926	0.349537037	0.287037037	0.483796296	0.233796296	0.282407407	0.592592593	0.12962963	0.277777778	0.548611111	0.145833333	0.305555556	0.618055556	0.263888889	0.118055556	0.402777778	0.314814815	0.282407407	0.407407407	0.210648148	0.381944444	0.368055556	0.460648148	0.171296296	0.305555556	0.331018519	0.363425926	0.347222222	0.481481481	0.171296296	0.113425926	0.775462963	0.111111111	0.449074074	0.240740741	0.310185185	0.400462963	0.363425926	0.236111111
