label	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10	Xc2.lambda11	Xc2.lambda12	Xc2.lambda13	Xc2.lambda14	Xc2.lambda15	Xc2.lambda16	Xc2.lambda17	Xc2.lambda18	Xc2.lambda19	Xc2.lambda20	Xc2.lambda21	Xc2.lambda22	Xc2.lambda23	Xc2.lambda24	Xc2.lambda25	Xc2.lambda26	Xc2.lambda27	Xc2.lambda28	Xc2.lambda29	Xc2.lambda30
1	9.360760853	1.872152171	10.6980124	12.03526395	0	4.011754651	5.081555892	14.70976706	2.941953411	9.360760853	8.023509303	6.418807442	1.604701861	7.221158373	2.941953411	8.558409923	10.16311178	1.604701861	9.093310543	5.616456512	0.026249234	0.026154407	0.024450873	0.025045404	0.025118188	0.023931137	0.025127792	0.024249779	0.023194503	0.023656112	0.024476831	0.023878383	0.024249672	0.025225039	0.023446043	0.024239312	0.025159916	0.021807101	0.023631534	0.024725279	0.024547752	0.024539239	0.025680315	0.025089081	0.024432456	0.022901795	0.024008923	0.023838583	0.025515896	0.023979112
1	6.628315773	6.628315773	5.353639663	4.078963553	0	6.373380551	13.76650199	4.843769219	1.529611332	8.66779755	16.06091899	9.687538438	1.529611332	3.314157887	3.314157887	8.412862328	6.883250995	1.019740888	3.314157887	10.4523441	0.026184911	0.024243617	0.024220449	0.02646968	0.023844309	0.024723275	0.025493072	0.024791005	0.024669252	0.025367296	0.023713598	0.024241653	0.02585059	0.024173083	0.026214419	0.024761298	0.025411494	0.025523207	0.023487327	0.022998106	0.024285442	0.023752564	0.023950396	0.02562497	0.023821292	0.025824772	0.026963826	0.024538404	0.026152864	0.023768608
1	20.29299021	12.2246929	3.66740787	4.889877159	0.488987716	7.090321881	7.579309597	14.91412534	1.955950864	5.867852591	22.73792879	1.955950864	3.422914012	4.400889443	5.378864875	8.557285029	4.156395586	1.955950864	3.178420154	10.26874203	0.025424242	0.026202807	0.023604718	0.02517354	0.025331616	0.024987227	0.023525136	0.02521645	0.02563981	0.024135743	0.026263857	0.025546353	0.026380061	0.025311996	0.02421679	0.026097632	0.023474334	0.025996149	0.024693033	0.025942335	0.024211667	0.025995374	0.024439016	0.02446679	0.02506305	0.024771055	0.026238575	0.024890335	0.025900899	0.026365554
1	7.350424236	4.08356902	16.33427608	5.172520758	2.450141412	11.70623119	11.43399326	8.711613909	2.450141412	16.87875195	23.41246238	13.61189673	1.633427608	14.70084847	3.266855216	9.256089778	7.078186301	1.361189673	7.350424236	11.43399326	0.023897565	0.023981394	0.024063446	0.024057697	0.023840527	0.02554976	0.024516275	0.024233653	0.023500468	0.024416147	0.023359922	0.023442292	0.025309905	0.024123686	0.024574895	0.024336953	0.023878042	0.025613121	0.024897788	0.02355884	0.022018737	0.02374331	0.024623489	0.024566592	0.025699768	0.022858574	0.024955419	0.025026545	0.025263494	0.023853762
1	9.34579762	8.853913534	2.951304511	6.640435151	0	9.34579762	7.870145364	8.607971492	0.737826128	4.67289881	12.78898622	4.181014725	3.443188597	2.459420426	4.181014725	6.394493108	5.65666698	0.98376817	1.475652256	9.591739662	0.025080306	0.024894707	0.025184017	0.024482666	0.0248256	0.025010838	0.023668626	0.02562762	0.024470574	0.027512244	0.025158177	0.024708251	0.025491265	0.024905393	0.02411502	0.024394165	0.024774821	0.025162818	0.025531945	0.026557299	0.023436047	0.025458543	0.02636637	0.025192106	0.025017489	0.024742572	0.024356392	0.026179343	0.024700177	0.027052567
1	16.81038303	11.36476599	0.236765958	4.735319162	0	7.339744701	6.392680869	6.866212785	1.894127665	3.551489372	10.65446811	2.841191497	2.130893623	0.947063832	4.025021288	5.445617036	5.445617036	1.183829791	2.604425539	9.707404282	0.026364861	0.025766782	0.027108785	0.024927369	0.026241455	0.027242216	0.02623851	0.024771821	0.026466327	0.026327139	0.023859405	0.024802154	0.025202237	0.024663732	0.026614453	0.025411453	0.025548536	0.025333367	0.024980544	0.025891771	0.024034071	0.025859798	0.023423684	0.025351167	0.026495627	0.024421288	0.024016443	0.025500325	0.025070019	0.025298703
1	13.82130288	10.48512632	6.195756462	5.719159811	0.238298325	9.293634692	7.625546414	5.24256316	0.714894976	2.144684929	13.58300455	2.62128158	3.097878231	1.191491627	1.906386604	6.195756462	7.625546414	2.144684929	4.765966509	5.480861485	0.024641973	0.024297778	0.027432827	0.025786622	0.024060874	0.024559726	0.022828237	0.025691714	0.025842667	0.025264464	0.023005183	0.025320984	0.024130346	0.025149994	0.027218679	0.026051714	0.025181052	0.025121595	0.026815009	0.027120645	0.024770461	0.02742596	0.02585475	0.025694337	0.02474428	0.025050327	0.025703955	0.025279186	0.026131028	0.025525309
1	13.96094243	7.517430537	6.175032226	6.443511888	0.268479662	14.22942209	6.443511888	7.517430537	1.610877972	8.322869523	12.88702378	7.248950875	2.68479662	2.68479662	3.490235606	12.35006445	6.980471213	0.268479662	5.638072902	10.20222716	0.025951914	0.025512152	0.022780712	0.025862601	0.024912356	0.02336698	0.023889097	0.02429555	0.024468471	0.02516507	0.025255351	0.02622804	0.025366266	0.025125068	0.024332094	0.022958783	0.025676926	0.023835866	0.024468621	0.024036494	0.023143012	0.0246283	0.023914557	0.022816704	0.02412296	0.025750431	0.022077038	0.023924454	0.024622389	0.023032081
1	14.01055763	9.425284224	5.604223052	6.623172698	0.509474823	13.50108281	6.623172698	7.896859755	1.528424469	2.037899292	14.01055763	4.075798583	3.056848938	3.056848938	5.858960464	8.66107199	7.387384932	2.292636703	3.311586349	9.680021636	0.026453278	0.024619054	0.023999802	0.024295294	0.024401206	0.025960211	0.023936035	0.025142865	0.024464508	0.025073537	0.025575239	0.024828608	0.025237374	0.023876753	0.024384165	0.024782047	0.024729376	0.024954195	0.025745561	0.025802198	0.022611942	0.024745526	0.022266552	0.025406634	0.025594268	0.025291426	0.024653572	0.024902253	0.02639829	0.025130819
1	12.8950611	10.21872767	2.676333436	5.839272952	0	6.569182071	7.29909119	7.05578815	0.973212159	6.325879031	9.975424626	4.866060793	3.162939516	1.946424317	4.866060793	7.54239423	6.082575992	0.486606079	2.189727357	10.21872767	0.027427278	0.024452183	0.025841585	0.024323583	0.025630587	0.024605733	0.021020282	0.025666698	0.025802121	0.025446272	0.023715778	0.02449907	0.025034313	0.024398826	0.027047975	0.02430053	0.026825753	0.023707082	0.02581017	0.025941352	0.024940663	0.026442803	0.025620495	0.025585401	0.025523728	0.025179922	0.027307839	0.024533598	0.025662127	0.024403215
