label	Schneider.Xr.A	Schneider.Xr.R	Schneider.Xr.N	Schneider.Xr.D	Schneider.Xr.C	Schneider.Xr.Q	Schneider.Xr.E	Schneider.Xr.G	Schneider.Xr.H	Schneider.Xr.I	Schneider.Xr.L	Schneider.Xr.K	Schneider.Xr.M	Schneider.Xr.F	Schneider.Xr.P	Schneider.Xr.S	Schneider.Xr.T	Schneider.Xr.W	Schneider.Xr.Y	Schneider.Xr.V	Grantham.Xr.A	Grantham.Xr.R	Grantham.Xr.N	Grantham.Xr.D	Grantham.Xr.C	Grantham.Xr.Q	Grantham.Xr.E	Grantham.Xr.G	Grantham.Xr.H	Grantham.Xr.I	Grantham.Xr.L	Grantham.Xr.K	Grantham.Xr.M	Grantham.Xr.F	Grantham.Xr.P	Grantham.Xr.S	Grantham.Xr.T	Grantham.Xr.W	Grantham.Xr.Y	Grantham.Xr.V	Schneider.Xd.1	Schneider.Xd.2	Schneider.Xd.3	Schneider.Xd.4	Schneider.Xd.5	Schneider.Xd.6	Schneider.Xd.7	Schneider.Xd.8	Schneider.Xd.9	Schneider.Xd.10	Schneider.Xd.11	Schneider.Xd.12	Schneider.Xd.13	Schneider.Xd.14	Schneider.Xd.15	Schneider.Xd.16	Schneider.Xd.17	Schneider.Xd.18	Schneider.Xd.19	Schneider.Xd.20	Schneider.Xd.21	Schneider.Xd.22	Schneider.Xd.23	Schneider.Xd.24	Schneider.Xd.25	Schneider.Xd.26	Schneider.Xd.27	Schneider.Xd.28	Schneider.Xd.29	Schneider.Xd.30	Grantham.Xd.1	Grantham.Xd.2	Grantham.Xd.3	Grantham.Xd.4	Grantham.Xd.5	Grantham.Xd.6	Grantham.Xd.7	Grantham.Xd.8	Grantham.Xd.9	Grantham.Xd.10	Grantham.Xd.11	Grantham.Xd.12	Grantham.Xd.13	Grantham.Xd.14	Grantham.Xd.15	Grantham.Xd.16	Grantham.Xd.17	Grantham.Xd.18	Grantham.Xd.19	Grantham.Xd.20	Grantham.Xd.21	Grantham.Xd.22	Grantham.Xd.23	Grantham.Xd.24	Grantham.Xd.25	Grantham.Xd.26	Grantham.Xd.27	Grantham.Xd.28	Grantham.Xd.29	Grantham.Xd.30
1	0.069807677	0.013961535	0.079780203	0.089752728	0	0.029917576	0.037895596	0.109697779	0.021939556	0.069807677	0.059835152	0.047868122	0.01196703	0.053851637	0.021939556	0.063824162	0.075791192	0.01196703	0.067813172	0.041884606	2.42E-06	4.84E-07	2.77E-06	3.11E-06	0	1.04E-06	1.31E-06	3.80E-06	7.60E-07	2.42E-06	2.07E-06	1.66E-06	4.15E-07	1.87E-06	7.60E-07	2.21E-06	2.63E-06	4.15E-07	2.35E-06	1.45E-06	0.036330779	0.035772436	0.033613174	0.034706944	0.036350951	0.033009632	0.035037032	0.033748205	0.033524423	0.0321283	0.033099521	0.032290127	0.0340987	0.03434781	0.031649865	0.033490144	0.034133442	0.030226436	0.031902116	0.032782111	0.032897968	0.033270154	0.033362604	0.034095383	0.032510792	0.030917417	0.031687261	0.03217775	0.033089024	0.031754992	0.037137622	0.03766147	0.034174986	0.034861834	0.035448718	0.033864864	0.035850301	0.033419738	0.031922728	0.031903034	0.033717418	0.033968499	0.03200165	0.033777392	0.033021756	0.033364057	0.034354204	0.030679157	0.031028177	0.03288304	0.033557058	0.032456571	0.034001237	0.033606691	0.032997279	0.029352323	0.031568054	0.031214548	0.034332519	0.031873006
1	0.050389216	0.050389216	0.040698982	0.031008748	0	0.048451169	0.104654526	0.036822889	0.011628281	0.06589359	0.122096946	0.073645777	0.011628281	0.025194608	0.025194608	0.063955543	0.052327263	0.007752187	0.025194608	0.079459918	2.09E-06	2.09E-06	1.69E-06	1.29E-06	0	2.01E-06	4.34E-06	1.53E-06	4.82E-07	2.73E-06	5.06E-06	3.05E-06	4.82E-07	1.04E-06	1.04E-06	2.65E-06	2.17E-06	3.22E-07	1.04E-06	3.30E-06	0.035507923	0.033890382	0.033272197	0.036672539	0.03326669	0.034033389	0.034741462	0.034230312	0.032978551	0.034142028	0.031811097	0.033112229	0.03408488	0.031707723	0.03494392	0.034161405	0.03367561	0.033119699	0.032049158	0.030513741	0.031722082	0.032268994	0.031776295	0.032759079	0.031155882	0.033369463	0.034774554	0.03311258	0.033329602	0.031878487	0.035453231	0.035234264	0.034591893	0.034261649	0.034718955	0.035108334	0.032579394	0.032697374	0.03412859	0.034450474	0.032493003	0.032843398	0.034652096	0.032011486	0.034590414	0.033907042	0.032775132	0.031833069	0.03332891	0.031963516	0.032135647	0.032189268	0.032224353	0.033861354	0.032175233	0.034220342	0.033669547	0.031139545	0.033116147	0.031646261
1	0.142220543	0.085675026	0.025702508	0.03427001	0.003427001	0.049691515	0.053118516	0.104523531	0.013708004	0.041124012	0.159355548	0.013708004	0.023989007	0.030843009	0.037697011	0.059972518	0.029129509	0.013708004	0.022275507	0.071967022	5.14E-06	3.10E-06	9.29E-07	1.24E-06	1.24E-07	1.80E-06	1.92E-06	3.78E-06	4.95E-07	1.49E-06	5.76E-06	4.95E-07	8.67E-07	1.11E-06	1.36E-06	2.17E-06	1.05E-06	4.95E-07	8.05E-07	2.60E-06	0.034257833	0.036012563	0.032287564	0.033878531	0.034265929	0.033604438	0.031487319	0.033749345	0.034260846	0.03263448	0.033885018	0.033218854	0.034751183	0.033471883	0.032422127	0.032899946	0.031709634	0.034464806	0.032911026	0.033509338	0.032390159	0.033654195	0.031971667	0.032153679	0.032124011	0.032808432	0.034257692	0.03180163	0.033802134	0.033640235	0.03364193	0.037175055	0.031405515	0.033303793	0.034971507	0.033574481	0.031607812	0.033953904	0.034495959	0.031695146	0.034068397	0.035413854	0.034736473	0.033650417	0.03116042	0.033456397	0.032390666	0.034198373	0.034115397	0.034344736	0.032778409	0.033220607	0.03188773	0.031781588	0.031516578	0.032869049	0.033951223	0.032138607	0.033097497	0.03339842
1	0.042133288	0.023407382	0.093629529	0.029649351	0.014044429	0.067101163	0.06554067	0.049935749	0.014044429	0.096750514	0.134202325	0.078024608	0.009362953	0.084266576	0.018725906	0.053056733	0.040572796	0.007802461	0.042133288	0.06554067	1.38E-06	7.69E-07	3.08E-06	9.74E-07	4.62E-07	2.21E-06	2.15E-06	1.64E-06	4.62E-07	3.18E-06	4.41E-06	2.56E-06	3.08E-07	2.77E-06	6.15E-07	1.74E-06	1.33E-06	2.56E-07	1.38E-06	2.15E-06	0.03342214	0.034077369	0.034592574	0.033647388	0.03265845	0.035203012	0.033889819	0.033727974	0.033575812	0.034310672	0.031547791	0.03356916	0.034722201	0.032748176	0.033217273	0.032835765	0.034482049	0.034648461	0.034110722	0.032385674	0.030818452	0.032499867	0.032919129	0.032632891	0.034155241	0.030715191	0.032768347	0.033164543	0.03377244	0.031620924	0.035190911	0.034509874	0.033679432	0.034596526	0.03275247	0.035280472	0.0338104	0.033569286	0.033966247	0.033389422	0.033186464	0.033733446	0.032884792	0.033250294	0.033762617	0.033743093	0.033986612	0.033991664	0.033346973	0.032285832	0.029996775	0.032748444	0.032007787	0.03343922	0.035710825	0.031000552	0.031857361	0.03300101	0.03338197	0.031939182
1	0.07997983	0.075770365	0.025256788	0.056827774	0	0.07997983	0.067351436	0.073665633	0.006314197	0.039989915	0.109446083	0.03578045	0.029466253	0.021047324	0.03578045	0.054723041	0.048408844	0.008418929	0.012628394	0.082084562	3.24E-06	3.07E-06	1.02E-06	2.30E-06	0	3.24E-06	2.73E-06	2.98E-06	2.56E-07	1.62E-06	4.43E-06	1.45E-06	1.19E-06	8.53E-07	1.45E-06	2.22E-06	1.96E-06	3.41E-07	5.12E-07	3.33E-06	0.033963856	0.0346332	0.034036148	0.033478074	0.033595422	0.034191987	0.032123811	0.034478813	0.033303566	0.036889779	0.034108585	0.031768655	0.034290643	0.033980136	0.031726116	0.032512305	0.033332073	0.033108131	0.03319705	0.03356282	0.030611681	0.032798836	0.034162632	0.032286167	0.031839516	0.033488796	0.031151717	0.033171366	0.032024992	0.034078395	0.035164694	0.035689971	0.034597203	0.03419726	0.033591291	0.033328323	0.032252346	0.034395005	0.034882803	0.03602627	0.031968733	0.033684518	0.034853057	0.031445451	0.03247797	0.032313031	0.032398523	0.034118462	0.033075078	0.033565425	0.030511293	0.0327163	0.034784416	0.033197258	0.031589598	0.032958757	0.03117578	0.031977269	0.031761999	0.035301831
1	0.154447501	0.104415212	0.002175317	0.043506338	0	0.067434824	0.058733557	0.06308419	0.017402535	0.032629754	0.097889261	0.026103803	0.019577852	0.008701268	0.036980387	0.050032289	0.050032289	0.010876585	0.023928486	0.089187993	6.63E-06	4.48E-06	9.34E-08	1.87E-06	0	2.90E-06	2.52E-06	2.71E-06	7.47E-07	1.40E-06	4.20E-06	1.12E-06	8.41E-07	3.74E-07	1.59E-06	2.15E-06	2.15E-06	4.67E-07	1.03E-06	3.83E-06	0.035891988	0.035215512	0.035578217	0.034855848	0.03578549	0.036559386	0.035315554	0.032845062	0.034820987	0.034612564	0.031165978	0.032058146	0.033574764	0.032304851	0.034843645	0.032688043	0.032623773	0.032121286	0.03194245	0.033455006	0.030376658	0.034391467	0.030465439	0.033142457	0.033796383	0.031430543	0.03003822	0.032194057	0.030858364	0.032872544	0.034283731	0.034242394	0.037447806	0.034307221	0.034838511	0.035949518	0.033558091	0.033864247	0.033778284	0.034882772	0.032653305	0.034145401	0.032406876	0.032296649	0.034453668	0.032740538	0.034301664	0.032089802	0.032304559	0.032647019	0.03091408	0.033801895	0.031911366	0.032754902	0.032968203	0.032123462	0.030925073	0.032323528	0.03125144	0.033833902
1	0.116598049	0.088453693	0.052268091	0.048247469	0.002010311	0.078402137	0.064329958	0.044226846	0.006030934	0.018092801	0.114587738	0.022113423	0.026134046	0.010051556	0.01608249	0.052268091	0.064329958	0.018092801	0.040206224	0.046237158	4.74E-06	3.59E-06	2.12E-06	1.96E-06	8.17E-08	3.18E-06	2.61E-06	1.80E-06	2.45E-07	7.35E-07	4.65E-06	8.98E-07	1.06E-06	4.08E-07	6.53E-07	2.12E-06	2.61E-06	7.35E-07	1.63E-06	1.88E-06	0.034826399	0.033204475	0.036198152	0.033828379	0.032019258	0.033009586	0.031194189	0.034199303	0.0341615	0.033894156	0.031220042	0.033442653	0.031069347	0.032693807	0.035427139	0.034538157	0.032003873	0.032060778	0.034838752	0.035602793	0.032422017	0.034985584	0.033198853	0.032576921	0.03196357	0.031785237	0.032574974	0.033097346	0.033444591	0.032507859	0.036028094	0.033172365	0.035554218	0.034198675	0.032474788	0.033500764	0.031986982	0.034307954	0.035330174	0.033733112	0.032411628	0.034245178	0.031222105	0.034623386	0.034420229	0.033544008	0.032934545	0.030685527	0.03469009	0.035029088	0.032194573	0.034068812	0.033657467	0.031034479	0.03333124	0.032106173	0.03296608	0.031505096	0.033014109	0.032028977
1	0.104826908	0.056445258	0.046365748	0.04838165	0.002015902	0.10684281	0.04838165	0.056445258	0.012095412	0.062492964	0.0967633	0.054429356	0.020159021	0.020159021	0.026206727	0.092731496	0.052413454	0.002015902	0.042333944	0.076604279	3.93E-06	2.12E-06	1.74E-06	1.81E-06	7.56E-08	4.01E-06	1.81E-06	2.12E-06	4.54E-07	2.34E-06	3.63E-06	2.04E-06	7.56E-07	7.56E-07	9.83E-07	3.48E-06	1.97E-06	7.56E-08	1.59E-06	2.87E-06	0.036779671	0.036028135	0.031430618	0.035589118	0.034818964	0.032758165	0.032720918	0.033835864	0.033540478	0.033747123	0.03496172	0.035230799	0.034733223	0.034139233	0.034140855	0.030611481	0.034862726	0.03219431	0.032889332	0.03273659	0.031825359	0.032726571	0.032898444	0.030955553	0.032545673	0.03335359	0.030111515	0.031893394	0.032891	0.031033675	0.036835154	0.036737138	0.032797133	0.034741899	0.0337654	0.03328282	0.032278389	0.034253906	0.033692512	0.034034977	0.034117799	0.034016736	0.033074338	0.033845129	0.034232914	0.032904493	0.03505111	0.031614103	0.034677848	0.032547468	0.030698435	0.033586559	0.032193345	0.032707501	0.032556403	0.033252401	0.030753967	0.032023402	0.033310148	0.030416498
1	0.106937412	0.071939713	0.042774965	0.050552231	0.003888633	0.103048779	0.050552231	0.060273814	0.011665899	0.015554533	0.106937412	0.031109065	0.023331799	0.023331799	0.044719281	0.066106764	0.056385181	0.017498849	0.025276116	0.07388403	4.13E-06	2.78E-06	1.65E-06	1.95E-06	1.50E-07	3.98E-06	1.95E-06	2.33E-06	4.50E-07	6.00E-07	4.13E-06	1.20E-06	9.00E-07	9.00E-07	1.73E-06	2.55E-06	2.18E-06	6.75E-07	9.76E-07	2.85E-06	0.035895931	0.033434293	0.032201927	0.034091045	0.033260715	0.035178087	0.033375656	0.033633547	0.033219912	0.034193026	0.03481263	0.033892948	0.034251619	0.033394122	0.031742074	0.033265664	0.033844151	0.032545268	0.034267767	0.033606915	0.030720054	0.033436659	0.030334376	0.03245755	0.03354018	0.033158796	0.031925269	0.032738174	0.033023252	0.032614077	0.036414226	0.034705232	0.033349463	0.032900177	0.032878272	0.034534971	0.031921258	0.034471568	0.033822793	0.03407241	0.035013065	0.034797292	0.033129923	0.031180624	0.034071412	0.03473924	0.033042462	0.032146494	0.035182261	0.034669812	0.029121307	0.03380338	0.032067648	0.032957951	0.032548744	0.031850059	0.031918376	0.031041303	0.034030477	0.033617728
1	0.10962389	0.086871762	0.022752128	0.049641007	0	0.055846133	0.062051259	0.059982883	0.008273501	0.053777758	0.084803387	0.041367506	0.026888879	0.016547002	0.041367506	0.064119634	0.051709382	0.004136751	0.018615378	0.086871762	4.57E-06	3.62E-06	9.49E-07	2.07E-06	0	2.33E-06	2.59E-06	2.50E-06	3.45E-07	2.24E-06	3.54E-06	1.72E-06	1.12E-06	6.90E-07	1.72E-06	2.67E-06	2.16E-06	1.72E-07	7.76E-07	3.62E-06	0.037050869	0.033995065	0.03512803	0.032197571	0.03476622	0.032323117	0.029409863	0.033975133	0.035119053	0.032387368	0.031837234	0.032505811	0.032853151	0.032555139	0.035727255	0.033176509	0.034123795	0.032055113	0.033464181	0.033181073	0.033361041	0.033578792	0.033691859	0.032774256	0.032551185	0.032050677	0.035498795	0.030820015	0.033298811	0.032474643	0.035749482	0.035276952	0.034837977	0.031959616	0.036300231	0.033170707	0.029302906	0.032752188	0.035073169	0.033637114	0.03323987	0.033290683	0.032506838	0.033505004	0.034760474	0.032095235	0.035084699	0.031854093	0.033510472	0.032758492	0.033342366	0.031914073	0.033712168	0.034662075	0.032018241	0.032256218	0.035783288	0.032427704	0.031686289	0.031531291
