label	aac_pssm0	aac_pssm1	aac_pssm2	aac_pssm3	aac_pssm4	aac_pssm5	aac_pssm6	aac_pssm7	aac_pssm8	aac_pssm9	aac_pssm10	aac_pssm11	aac_pssm12	aac_pssm13	aac_pssm14	aac_pssm15	aac_pssm16	aac_pssm17	aac_pssm18	aac_pssm19
1	-0.315682281	-1.759674134	0.118126273	0.256619145	-3.615071283	-1.177189409	-1.364562118	0.305498982	-1.303462322	-1.073319756	-1.33808554	-1.869653768	-1.586558045	-1.079429735	-2.052953157	-0.219959267	0.091649695	-1.631364562	-0.780040733	-1.112016293
1	-0.307531381	-0.665271967	-1.826359833	-1.847280335	-4.259414226	-0.276150628	-0.935146444	-2.372384937	-2.023012552	-1.19665272	-1.135983264	-1.244769874	-1.311715481	-2.531380753	-2.728033473	-0.974895397	-0.90376569	-3.539748954	-2.405857741	-1.010460251
1	-0.397976391	-1.976391231	-2.772344013	-3.150084317	-4.028667791	-1.826306914	-2.743676223	-2.266441821	-2.720067454	-1.47386172	-1.138279933	-2.944350759	-1.033726813	-2.325463744	-3.564924115	-1.41989882	-1.409780776	-3.957841484	-2.969645868	-1.161888702
1	-1.648484848	-2.496969697	-1.222727273	-2.778787879	-3.3	-1.878787879	-2.312121212	-2.9	-2.596969697	-0.025757576	-0.684848485	-1.613636364	-1.028787879	-0.907575758	-3.922727273	-1.054545455	-1.406060606	-3.681818182	-1.336363636	-1.278787879
1	-0.314732143	-0.763392857	-1.694196429	-1.680803571	-4.21875	-0.238839286	-0.841517857	-2.267857143	-1.986607143	-1.203125	-1.194196429	-1.290178571	-1.234375	-2.544642857	-2.604910714	-0.933035714	-0.852678571	-3.560267857	-2.419642857	-0.970982143
1	-0.354545455	-0.75	-2.018181818	-1.968181818	-4.513636364	-0.334090909	-1.061363636	-2.554545455	-2.213636364	-1.411363636	-1.265909091	-1.429545455	-1.559090909	-2.747727273	-2.934090909	-1.043181818	-1.027272727	-3.956818182	-2.581818182	-1.059090909
1	0.38961039	-0.567099567	-0.982683983	-1.612554113	-4.201298701	0.041125541	-0.941558442	-2.088744589	-2.20995671	-1.70995671	-1.006493506	-1.534632035	-1.664502165	-2.45021645	-3.324675325	-0.480519481	-0.640692641	-3.316017316	-1.692640693	-1.19047619
1	0.441176471	-0.388235294	-1.033333333	-1.496078431	-4.158823529	0.103921569	-0.9	-2.02745098	-2.21372549	-1.6	-0.909803922	-1.462745098	-1.537254902	-2.42745098	-3.052941176	-0.443137255	-0.601960784	-3.166666667	-1.715686275	-1.121568627
1	0.564102564	-0.49704142	-1.142011834	-1.506903353	-4.299802761	-0.025641026	-0.946745562	-2.071005917	-2.347140039	-1.692307692	-0.960552268	-1.570019724	-1.648915187	-2.554240631	-3.025641026	-0.431952663	-0.646942801	-3.339250493	-1.749506903	-1.09270217
1	-0.269146608	-0.702407002	-1.800875274	-1.829321663	-4.288840263	-0.234135667	-0.897155361	-2.347921225	-2.083150985	-1.269146608	-1.175054705	-1.317286652	-1.361050328	-2.669584245	-2.595185996	-0.927789934	-0.849015317	-3.652078775	-2.547045952	-0.991247265
