label	edp0	edp1	edp2	edp3	edp4	edp5	edp6	edp7	edp8	edp9	edp10	edp11	edp12	edp13	edp14	edp15	edp16	edp17	edp18	edp19
1	1.99299591	1.950715746	2.623312883	3.333486708	3.287832311	1.831850716	1.927300614	3.377198364	2.169274029	2.679907975	2.489570552	1.945552147	2.175153374	2.667382413	2.519427403	2.006952965	2.325766871	3.036451943	2.543149284	2.159969325
1	3.781066176	4.460477941	3.334059874	4.406801471	4.399028361	4.516307773	4.559007353	4.036633403	3.376234244	4.681643908	4.338103992	3.620089286	3.279858193	4.270982143	4.958377101	3.25990021	3.297610294	4.77292542	3.543303571	4.695036765
1	5.315122673	6.746848562	5.36034264	6.538515228	4.809835025	5.743633672	5.868422166	5.977643824	5.476205584	6.632466159	6.697779188	5.252263113	5.472229272	5.899725042	6.325444162	4.821298646	4.561146362	6.326459391	5.118295262	5.946552453
1	4.015710486	5.567990122	5.850702888	6.172359422	4.787974924	5.072207447	5.557655775	5.616546353	4.992800152	6.713012918	5.654616261	5.529350304	4.575512918	5.587329027	5.748841185	4.612367021	4.095573708	5.626462766	4.635163374	4.90906155
1	3.674831839	4.170011211	3.247477578	4.260426009	4.326625561	4.311042601	4.430269058	3.961995516	3.284753363	4.524719731	4.216984305	3.476793722	3.216872197	4.212107623	4.78206278	3.188060538	3.231278027	4.583744395	3.439237668	4.569674888
1	4.186415525	4.944178082	3.623002283	4.817237443	4.682248858	5.01586758	4.967865297	4.461872146	3.741952055	5.124486301	4.805022831	3.992979452	3.624315068	4.687728311	5.497031963	3.614440639	3.633847032	5.224714612	4.042636986	5.16489726
1	4.424945652	4.170108696	3.79326087	4.1125	4.279728261	4.497445652	3.831576087	3.527880435	3.048695652	3.645054348	4.221304348	3.212934783	2.83548913	3.83951087	4.423152174	3.229836957	3.041358696	4.596413043	3.898423913	3.556032609
1	4.158661417	4.069635827	3.547440945	3.925246063	4.293011811	4.261811024	3.576870079	3.430511811	3.066879921	3.492667323	3.888090551	2.968503937	2.767273622	3.738730315	4.31269685	3.095423228	2.876230315	4.440797244	3.737204724	3.456348425
1	4.481559406	4.220717822	3.612054455	4.127351485	4.499727723	4.317945545	3.772549505	3.563539604	3.191856436	3.675618812	4.109826733	3.115321782	2.943688119	3.881806931	4.621212871	3.199529703	3.021311881	4.784777228	3.956905941	3.66259901
1	3.775741758	4.451840659	3.299038462	4.334642857	4.317884615	4.475851648	4.534148352	4.007554945	3.266565934	4.680686813	4.37293956	3.569313187	3.250027473	4.315467033	4.942664835	3.222884615	3.289532967	4.539478022	3.550137363	4.683434066
1	4.765638889	4.627694444	4.186916667	4.66325	4.617583333	4.887083333	4.18225	3.967972222	3.380361111	3.993361111	4.59925	3.492305556	3.148638889	4.239083333	4.771694444	3.539361111	3.333472222	5.065527778	4.254361111	3.895305556
1	4.882244318	4.617642045	4.338607955	4.697017045	4.736846591	5.085710227	4.306221591	4.079744318	3.441392045	4.068267045	4.699005682	3.603892045	3.154801136	4.227471591	4.810142045	3.665198864	3.455255682	5.223835227	4.312244318	3.958892045
1	3.979914773	4.628721591	3.507528409	4.621789773	4.4528125	4.739346591	4.867642045	4.247073864	3.459517045	4.949346591	4.574857955	3.698551136	3.324857955	4.400482955	5.178380682	3.388948864	3.444005682	4.668039773	3.720028409	5.034630682
1	4.919331395	4.677354651	4.287005814	4.704854651	4.844622093	5.084680233	4.388517442	4.150203488	3.48125	4.224331395	4.840261628	3.689447674	3.216075581	4.403575581	4.958982558	3.673575581	3.471773256	5.188226744	4.371656977	4.095203488
1	3.044878604	3.609901366	2.718930197	3.519764795	3.416729894	3.548748103	3.489946889	3.365212443	2.736115326	3.707359636	3.494461305	2.817943854	2.619233687	3.413694992	4.087518968	2.628869499	2.619992413	3.704097117	2.786836115	3.657738998
1	4.517109218	4.280636273	3.885445892	4.256838677	4.573221443	4.531487976	3.901878758	3.653081162	3.255736473	3.806538076	4.319814629	3.250425852	3.006888778	4.094514028	4.641908818	3.352830661	3.194664329	4.973522044	4.028031062	3.733942886
1	3.785357863	4.387827621	3.261517137	4.270740927	4.197202621	4.493422379	4.472958669	3.911819556	3.327091734	4.648059476	4.291355847	3.477293347	3.198009073	4.180065524	4.997757056	3.268069556	3.230015121	4.497454637	3.557232863	4.660105847
1	4.603282563	4.504332983	3.743933824	4.334217437	4.640835084	4.57549895	4.02970063	3.690730042	3.22397584	3.799343487	4.340782563	3.314311975	3.064627101	4.000551471	4.64529937	3.344511555	3.177284664	4.919091387	4.039206933	3.813576681
1	4.831078947	4.638921053	4.163447368	4.5935	4.831868421	4.880552632	4.224131579	3.978289474	3.425289474	3.985026316	4.634078947	3.485078947	3.294447368	4.186605263	4.836078947	3.576605263	3.371921053	5.237184211	4.248552632	3.870236842
1	3.782081545	4.399034335	3.356545064	4.354077253	4.340504292	4.515987124	4.594152361	4.106920601	3.298873391	4.719849785	4.372424893	3.547854077	3.264484979	4.300804721	4.988090129	3.251126609	3.296834764	4.598497854	3.581276824	4.745064378
1	3.647473118	4.161774194	3.221935484	4.191290323	4.275053763	4.220053763	4.336236559	3.959784946	3.230053763	4.503978495	4.17188172	3.382365591	3.165215054	4.064462366	4.802956989	3.158333333	3.170752688	4.499354839	3.363817204	4.499193548
1	3.816314935	4.40836039	3.321185065	4.424540043	4.234659091	4.519940476	4.510362554	4.07659632	3.305925325	4.678598485	4.320968615	3.576055195	3.219561688	4.206087662	5.05327381	3.268100649	3.296022727	4.629518398	3.634442641	4.797700216
1	4.0370671	4.711796537	3.508333333	4.603517316	4.513961039	4.800865801	4.812987013	4.283874459	3.535497836	4.987878788	4.621645022	3.782575758	3.420183983	4.462337662	5.343993506	3.480573593	3.461038961	4.807954545	3.80211039	4.988419913
1	3.584230769	4.043571429	3.167142857	4.090164835	4.166593407	4.234010989	4.26021978	3.883351648	3.153736264	4.497032967	4.144230769	3.337252747	3.153516484	4.066428571	4.813296703	3.075384615	3.118406593	4.484615385	3.403186813	4.45032967
1	4.636343612	4.462610132	4.078469163	4.528469163	4.529625551	4.83876652	4.066685022	3.942345815	3.285352423	3.882268722	4.531112335	3.436563877	3.136343612	4.136674009	4.734140969	3.458975771	3.256332599	4.955011013	4.161178414	3.78188326
1	4.58598234	4.434381898	4.084933775	4.539790287	4.520419426	4.877649007	4.152152318	3.890066225	3.254966887	4.017825607	4.626214128	3.469094923	3.145916115	4.182505519	4.751545254	3.458830022	3.267549669	4.977649007	4.225883002	3.881898455
1	3.944265033	4.528674833	3.444265033	4.575890869	4.44142539	4.644766147	4.705122494	4.174832962	3.454955457	4.90311804	4.486024499	3.71798441	3.379231626	4.383351893	5.175612472	3.383797327	3.432628062	4.744320713	3.7327951	4.930512249
1	3.967449664	4.60704698	3.537136465	4.617114094	4.500727069	4.765044743	4.835402685	4.202852349	3.528131991	4.97852349	4.564653244	3.747371365	3.396364653	4.428803132	5.097203579	3.44401566	3.390939597	4.746756152	3.843288591	4.963422819
1	3.788092551	4.313374718	3.304176072	4.33013544	4.28775395	4.441139955	4.507336343	4.002539503	3.287076749	4.722234763	4.386230248	3.466139955	3.229683973	4.213826185	4.829176072	3.234593679	3.276015801	4.595485327	3.541139955	4.738374718
1	3.930668934	4.596371882	3.458390023	4.518707483	4.526643991	4.601360544	4.754478458	4.184410431	3.41723356	4.877210884	4.565249433	3.695294785	3.359126984	4.488208617	5.111621315	3.34824263	3.372562358	4.747789116	3.691043084	4.909580499
1	3.765170455	4.211931818	3.195852273	4.232556818	4.290795455	4.367443182	4.434943182	3.958295455	3.261647727	4.637784091	4.303806818	3.468238636	3.203238636	4.151022727	4.837897727	3.148579545	3.258522727	4.532670455	3.436136364	4.615795455
1	3.872779043	4.537813212	3.407744875	4.496469248	4.318621868	4.735876993	4.662870159	4.13046697	3.413838269	4.902676538	4.518849658	3.683656036	3.315205011	4.348234624	5.115546697	3.378359909	3.386560364	4.698633257	3.71976082	4.887414579
1	3.901440092	4.416993088	3.368375576	4.414458525	4.296082949	4.518317972	4.621082949	4.154550691	3.37828341	4.801843318	4.438882488	3.603513825	3.303859447	4.308006912	4.96140553	3.336520737	3.360080645	4.586290323	3.61906682	4.857373272
1	3.756105991	4.190668203	3.316186636	4.219297235	4.377131336	4.370276498	4.447235023	4.029953917	3.229608295	4.631105991	4.265552995	3.415898618	3.182142857	4.249654378	4.976209677	3.236059908	3.275172811	4.630760369	3.470910138	4.65656682
1	3.616570439	4.172979215	3.218244804	4.174884527	4.219457275	4.316685912	4.410103926	3.948441109	3.241224018	4.622979215	4.256466513	3.420727483	3.200404157	4.124711316	4.759180139	3.106235566	3.248036952	4.541339492	3.410854503	4.641570439
1	3.934802784	4.41850348	3.351914153	4.410092807	4.393271462	4.559222738	4.614153132	4.082482599	3.307308585	4.751740139	4.409106729	3.53149652	3.263921114	4.294083527	5.039617169	3.255858469	3.326392111	4.647911833	3.620765661	4.76537123
1	2.693435423	3.788354701	2.189446819	2.804665242	2.861122982	2.899275878	2.802908357	3.363354701	2.617319563	3.122162868	3.0122151	2.478169516	2.157205603	2.839945394	4.133606363	2.15449905	2.049465812	2.938069801	2.326673789	2.859603514
1	3.999307616	5.257319486	4.747823937	5.426409496	4.277299703	4.739515331	5.032121662	5.004327399	4.629549951	5.636424332	5.208852621	4.621290801	4.302225519	5.046389713	5.05516815	4.11181998	3.825049456	5.191815035	4.415702275	4.641913947
1	4.370847363	5.706958474	5.137794613	5.863439955	4.5164422	5.158613917	5.452441077	5.426823793	5.040937149	6.066386083	5.630415264	5.02637486	4.722362514	5.455920314	5.37174523	4.480078563	4.177188552	5.51849046	4.751459035	5.062962963
1	4.438543841	4.26072547	3.945120042	4.372990605	4.3657881	4.626748434	3.901330898	3.724086639	3.131236952	3.752635699	4.327374739	3.27815762	2.904514614	3.915631524	4.524660752	3.309159708	3.095015658	4.786769311	4.022729645	3.615109603
1	4.906720711	4.669482218	3.638572176	4.315611925	4.551176778	4.549189331	3.902745816	3.854053347	3.346208159	3.850444561	4.382191423	3.109858787	3.128530335	4.112892259	4.678111925	3.425862971	3.217233264	5.137944561	4.019848326	3.807348326
1	4.598427673	4.29942348	3.776939203	4.26860587	4.341090147	4.565461216	3.879612159	3.678354298	3.148742138	3.664098532	4.282494759	3.275943396	2.925524109	3.978773585	4.589046122	3.288102725	3.094863732	4.845649895	3.950104822	3.616981132
1	3.478944563	4.040405117	3.031663113	3.995895522	4.080277186	4.037579957	4.122547974	3.716364606	3.061460554	4.23608742	3.981236674	3.247654584	3.043816631	3.926119403	4.717057569	2.942164179	3.005597015	4.373347548	3.261513859	4.3054371
1	4.435229701	4.366266026	4.132505342	4.381543803	4.512793803	4.838434829	4.062473291	3.869150641	3.247996795	3.893563034	4.451736111	3.515464744	3.103445513	4.094951923	4.586725427	3.512099359	3.196127137	4.913862179	4.119684829	3.745112179
1	3.648373102	4.196258134	3.190455531	4.214913232	4.173047722	4.29967462	4.364099783	3.886388286	3.163123644	4.593004338	4.207917571	3.429609544	3.156344902	4.087310195	4.852765727	3.103850325	3.178416486	4.44132321	3.423318872	4.593275488
1	3.96119281	4.491748366	3.466857298	4.613752723	4.352478214	4.6333061	4.732434641	4.237391068	3.386301743	4.849482571	4.48287037	3.627859477	3.312608932	4.461791939	5.233905229	3.373992375	3.42464597	4.777151416	3.726879085	4.874918301
1	3.651883188	4.286817686	3.222025109	4.158269651	4.125027293	4.345278384	4.436217249	3.946151747	3.225518559	4.546260917	4.216566594	3.465966157	3.106741266	4.11503821	4.844623362	3.112745633	3.182450873	4.326664847	3.412909389	4.561599345
1	3.77933114	4.297313596	3.284375	4.320504386	4.38245614	4.549725877	4.437664474	4.091173246	3.348464912	4.531688596	4.21683114	3.505153509	3.213048246	4.190899123	4.964089912	3.213541667	3.191666667	4.870339912	3.583333333	4.680427632
1	4.059093407	4.751565934	3.513818681	4.600521978	4.519203297	4.94260989	4.860027473	4.311181319	3.546620879	5.04717033	4.649203297	3.776181319	3.426456044	4.590686813	5.296346154	3.505137363	3.447115385	4.836456044	3.865027473	4.978873626
1	3.597632159	4.122742291	3.116960352	4.1094163	4.263821586	4.230726872	4.339592511	3.863436123	3.233039648	4.450165198	4.082323789	3.35154185	3.122136564	4.036949339	4.747026432	3.034085903	3.158810573	4.420539648	3.259581498	4.462169604
1	4.046081678	4.756346578	3.524558499	4.668267108	4.572461369	4.838631347	4.917439294	4.279580574	3.510264901	5.023289183	4.637362031	3.783333333	3.426490066	4.540231788	5.282119205	3.471412804	3.476766004	4.765673289	3.830353201	5.029966887
1	4.878752759	4.597406181	4.14486755	4.606181015	4.737637969	5.021633554	4.238465784	3.973785872	3.503918322	4.0049117	4.680242826	3.5299117	3.091942605	4.193432671	4.854801325	3.523951435	3.360320088	5.045253863	4.268487859	3.945640177
1	4.794619205	4.603283664	3.940921634	4.537941501	4.569784768	4.79053532	4.063383002	3.861616998	3.315038631	3.812279249	4.554111479	3.366363135	3.125137969	4.067301325	4.688824503	3.49544702	3.27535872	5.009519868	4.131815673	3.772599338
1	4.705099778	4.459977827	4.007317073	4.527993348	4.526219512	4.751385809	4.107649667	3.797228381	3.297172949	3.954767184	4.567572062	3.501552106	3.100609756	4.186973392	4.720121951	3.446784922	3.266574279	5.093292683	4.173780488	3.847172949
1	3.6202051	4.089550998	3.161668514	4.152799335	4.200249446	4.243597561	4.287998891	3.932511086	3.189107539	4.474140798	4.13118071	3.416768293	3.115327051	4.057843681	4.846978936	3.134839246	3.212444568	4.512943459	3.346868071	4.500859202
1	3.772694444	4.350361111	3.383972222	4.449138889	4.310972222	4.501805556	4.562472222	4.097916667	3.319416667	4.768361111	4.37875	3.589138889	3.262472222	4.245694444	4.862861111	3.262361111	3.294083333	4.612138889	3.591138889	4.698805556
1	3.891583333	4.486694444	3.398472222	4.411416667	4.442083333	4.587861111	4.671416667	4.073861111	3.364138889	4.859972222	4.480638889	3.652027778	3.368638889	4.399916667	5.068694444	3.290638889	3.339527778	4.80125	3.64925	4.838916667
1	3.954472222	4.577138889	3.503138889	4.575805556	4.463583333	4.760694444	4.76825	4.208138889	3.48775	4.975138889	4.651527778	3.769583333	3.445083333	4.487416667	5.144194444	3.392305556	3.506138889	4.845861111	3.754861111	5.00425
1	4.724387528	4.614532294	4.102728285	4.644487751	4.875612472	4.826670379	4.154844098	3.928507795	3.384131403	4.070545657	4.613474388	3.434855234	3.260579065	4.293875278	4.861191537	3.502895323	3.313585746	5.196937639	4.307906459	4.029732739
1	5.034423937	4.807857942	4.085262864	4.668428412	4.733808725	5.025922819	4.220218121	4.05864094	3.441638702	4.046280761	4.820329978	3.480564877	3.306683445	4.257634228	4.8174217	3.611884787	3.408752796	5.258249441	4.286661074	4.004166667
1	3.918707865	4.517865169	3.366741573	4.455337079	4.410561798	4.643258427	4.72005618	4.092921348	3.397359551	4.891011236	4.461067416	3.620280899	3.343539326	4.379382022	5.178483146	3.32747191	3.325730337	4.658370787	3.685168539	4.82252809
1	4.996565315	4.832995496	4.050281532	4.595720721	4.724324324	4.965765766	4.255292793	3.97606982	3.427477477	4.022804054	4.68231982	3.495157658	3.210641892	4.280067568	4.856193694	3.575	3.393637387	5.146621622	4.266554054	4.027083333
1	4.709797297	4.435923423	4.250281532	4.621903153	4.705968468	4.940484234	4.201914414	4.001689189	3.382939189	4.021114865	4.688851351	3.481024775	3.152421171	4.245439189	4.833333333	3.594144144	3.344481982	5.173141892	4.341441441	3.903885135
1	3.747573363	4.227031603	3.253837472	4.270711061	4.314277652	4.330022573	4.484875847	3.987133183	3.289390519	4.61721219	4.26523702	3.427595937	3.164841986	4.190688488	4.926015801	3.149435666	3.231772009	4.531828442	3.515293454	4.615801354
1	4.54974605	4.383323928	4.286766366	4.520795711	4.546021445	4.873843115	4.155389391	3.942014673	3.335073363	3.945062077	4.606630926	3.569554176	3.058154628	4.183436795	4.606405192	3.545739278	3.295400677	4.914193002	4.216281038	3.774238149
