label	Schneider.Xr.A	Schneider.Xr.R	Schneider.Xr.N	Schneider.Xr.D	Schneider.Xr.C	Schneider.Xr.Q	Schneider.Xr.E	Schneider.Xr.G	Schneider.Xr.H	Schneider.Xr.I	Schneider.Xr.L	Schneider.Xr.K	Schneider.Xr.M	Schneider.Xr.F	Schneider.Xr.P	Schneider.Xr.S	Schneider.Xr.T	Schneider.Xr.W	Schneider.Xr.Y	Schneider.Xr.V	Grantham.Xr.A	Grantham.Xr.R	Grantham.Xr.N	Grantham.Xr.D	Grantham.Xr.C	Grantham.Xr.Q	Grantham.Xr.E	Grantham.Xr.G	Grantham.Xr.H	Grantham.Xr.I	Grantham.Xr.L	Grantham.Xr.K	Grantham.Xr.M	Grantham.Xr.F	Grantham.Xr.P	Grantham.Xr.S	Grantham.Xr.T	Grantham.Xr.W	Grantham.Xr.Y	Grantham.Xr.V	Schneider.Xd.1	Schneider.Xd.2	Schneider.Xd.3	Schneider.Xd.4	Schneider.Xd.5	Schneider.Xd.6	Schneider.Xd.7	Schneider.Xd.8	Schneider.Xd.9	Schneider.Xd.10	Schneider.Xd.11	Schneider.Xd.12	Schneider.Xd.13	Schneider.Xd.14	Schneider.Xd.15	Schneider.Xd.16	Schneider.Xd.17	Schneider.Xd.18	Schneider.Xd.19	Schneider.Xd.20	Schneider.Xd.21	Schneider.Xd.22	Schneider.Xd.23	Schneider.Xd.24	Schneider.Xd.25	Schneider.Xd.26	Schneider.Xd.27	Schneider.Xd.28	Schneider.Xd.29	Schneider.Xd.30	Grantham.Xd.1	Grantham.Xd.2	Grantham.Xd.3	Grantham.Xd.4	Grantham.Xd.5	Grantham.Xd.6	Grantham.Xd.7	Grantham.Xd.8	Grantham.Xd.9	Grantham.Xd.10	Grantham.Xd.11	Grantham.Xd.12	Grantham.Xd.13	Grantham.Xd.14	Grantham.Xd.15	Grantham.Xd.16	Grantham.Xd.17	Grantham.Xd.18	Grantham.Xd.19	Grantham.Xd.20	Grantham.Xd.21	Grantham.Xd.22	Grantham.Xd.23	Grantham.Xd.24	Grantham.Xd.25	Grantham.Xd.26	Grantham.Xd.27	Grantham.Xd.28	Grantham.Xd.29	Grantham.Xd.30
1	0.076357288	0.025452429	0.050904859	0.127262147	0	0	0.025452429	0.101809718	0.025452429	0.076357288	0.152714576	0.127262147	0.025452429	0.076357288	0.025452429	0.178167006	0.050904859	0	0.076357288	0.050904859	2.65E-06	8.85E-07	1.77E-06	4.42E-06	0	0	8.85E-07	3.54E-06	8.85E-07	2.65E-06	5.31E-06	4.42E-06	8.85E-07	2.65E-06	8.85E-07	6.19E-06	1.77E-06	0	2.65E-06	1.77E-06	0.043176455	0.051334699	0.049579166	0.042254632	0.045033948	0.038543047	0.041559788	0.037222091	0.036750689	0.030035689	0.038544327	0.031975778	0.031212332	0.032409703	0.041925766	0.035173697	0.031980703	0.029310486	0.030655871	0.02590477	0.028838959	0.026644685	0.021951618	0.025068416	0.031257594	0.018727597	0.018323642	0.020025081	0.02082965	0.018296693	0.048772208	0.04933133	0.047290767	0.047853074	0.045388723	0.039496395	0.036465137	0.042546405	0.039201929	0.037372153	0.041279732	0.036769776	0.03267308	0.031071075	0.037798151	0.041816476	0.031587386	0.029935316	0.028170289	0.022917312	0.025460122	0.028761697	0.024996442	0.026217472	0.030500276	0.017845491	0.019071386	0.018070696	0.021146535	0.020192285
1	0.022282621	0.066847864	0.022282621	0.044565242	0	0.022282621	0.155978349	0.022282621	0.022282621	0.044565242	0.17826097	0.111413106	0.044565242	0.066847864	0.044565242	0.044565242	0.066847864	0.066847864	0.022282621	0.044565242	1.02E-06	3.05E-06	1.02E-06	2.03E-06	0	1.02E-06	7.11E-06	1.02E-06	1.02E-06	2.03E-06	8.13E-06	5.08E-06	2.03E-06	3.05E-06	2.03E-06	2.03E-06	3.05E-06	3.05E-06	1.02E-06	2.03E-06	0.049319447	0.041310006	0.043431474	0.040802862	0.04448359	0.04291154	0.040884724	0.039715965	0.045216276	0.029601183	0.032699998	0.033504691	0.032898211	0.02891421	0.038155392	0.03159737	0.033370117	0.035687278	0.030387247	0.028396017	0.028371586	0.029283874	0.027304244	0.017072686	0.027235168	0.019043619	0.025264691	0.020927675	0.020709299	0.019216938	0.046049193	0.043053418	0.050005571	0.042206783	0.047045754	0.041191127	0.036032599	0.039504156	0.044987625	0.033136672	0.032621175	0.033668422	0.032694513	0.034170206	0.033717889	0.038203376	0.029361709	0.034094431	0.029397362	0.033165622	0.028619697	0.030977983	0.022934804	0.025568055	0.025169472	0.025578822	0.027123181	0.022442161	0.020880026	0.016397181
1	0.226675437	0.129528821	0.064764411	0.032382205	0	0.064764411	0.032382205	0.097146616	0	0.064764411	0.259057643	0.032382205	0.097146616	0.032382205	0.032382205	0.194293232	0.032382205	0	0.064764411	0.161911027	7.37E-06	4.21E-06	2.11E-06	1.05E-06	0	2.11E-06	1.05E-06	3.16E-06	0	2.11E-06	8.43E-06	1.05E-06	3.16E-06	1.05E-06	1.05E-06	6.32E-06	1.05E-06	0	2.11E-06	5.27E-06	0.043202606	0.045564062	0.03988864	0.036037259	0.044884097	0.039605892	0.036732402	0.03804299	0.035811912	0.031878461	0.033704701	0.037877469	0.031226481	0.036500429	0.035624218	0.034515079	0.03195636	0.037741868	0.032665514	0.030153934	0.023613923	0.028404544	0.030428937	0.026582925	0.020865901	0.020842246	0.025392613	0.022398457	0.01841056	0.017063314	0.044448985	0.053757895	0.039276538	0.038668386	0.04563369	0.040012871	0.041476374	0.042767879	0.034837264	0.03134213	0.03666551	0.035527043	0.034354239	0.037740466	0.030790012	0.031220058	0.038156187	0.03906062	0.027600956	0.028306113	0.025519296	0.02779128	0.029265737	0.024105191	0.022099576	0.02738072	0.025111053	0.023553073	0.023296288	0.020233518
1	0.05397723	0	0.10795446	0.05397723	0.05397723	0.10795446	0.16193169	0.080965845	0.05397723	0.16193169	0.16193169	0.05397723	0.080965845	0.026988615	0.05397723	0.026988615	0	0	0.05397723	0.05397723	1.69E-06	0	3.38E-06	1.69E-06	1.69E-06	3.38E-06	5.06E-06	2.53E-06	1.69E-06	5.06E-06	5.06E-06	1.69E-06	2.53E-06	8.44E-07	1.69E-06	8.44E-07	0	0	1.69E-06	1.69E-06	0.038041805	0.041244142	0.039803303	0.038361674	0.031811165	0.040496557	0.043623161	0.042018982	0.041436406	0.040756668	0.039261788	0.044301539	0.040812386	0.038792205	0.036315581	0.033605487	0.03474907	0.032871618	0.033931407	0.028728075	0.02402604	0.030400829	0.026801015	0.022574184	0.0197852	0.015808095	0.02407381	0.019422268	0.01401318	0.015143746	0.044447066	0.047383632	0.037565458	0.04548297	0.037946991	0.046306967	0.045041519	0.052255544	0.048766722	0.036203044	0.039970527	0.040837986	0.039688744	0.034954981	0.031897566	0.030776934	0.028572463	0.029105648	0.02965647	0.025574967	0.022252648	0.029946523	0.026934427	0.021854068	0.024802786	0.01895033	0.023276568	0.019911801	0.02004784	0.019585966
1	0.153396095	0.109568639	0.021913728	0.087654911	0	0.021913728	0.087654911	0.109568639	0	0.021913728	0.19722355	0	0.065741183	0.043827456	0	0.021913728	0.065741183	0.065741183	0	0.021913728	6.33E-06	4.52E-06	9.04E-07	3.62E-06	0	9.04E-07	3.62E-06	4.52E-06	0	9.04E-07	8.14E-06	0	2.71E-06	1.81E-06	0	9.04E-07	2.71E-06	2.71E-06	0	9.04E-07	0.034262074	0.040051823	0.033262247	0.035092696	0.034325512	0.031888368	0.036832451	0.038926534	0.034005707	0.03903995	0.038512614	0.035955291	0.033075643	0.035993302	0.035386404	0.034136758	0.038523862	0.039254104	0.033520145	0.033089856	0.034252086	0.032504727	0.032695985	0.032843837	0.025055032	0.026307936	0.022323008	0.018459927	0.018990106	0.019518283	0.041803518	0.042046861	0.034556782	0.043302637	0.039960682	0.034448991	0.046805555	0.040341837	0.037030536	0.038095509	0.0322524	0.036248513	0.031708112	0.031201624	0.032423128	0.031286626	0.028262435	0.037995857	0.029371357	0.032553345	0.034296439	0.030392382	0.029161925	0.036291466	0.027303444	0.028499176	0.026018369	0.020128508	0.020297427	0.025913653
1	0.153058935	0.218655622	0	0.021865562	0	0.043731124	0.087462249	0.043731124	0.043731124	0.021865562	0.131193373	0	0.021865562	0.043731124	0.087462249	0.065596687	0.021865562	0.043731124	0	0.043731124	7.51E-06	1.07E-05	0	1.07E-06	0	2.15E-06	4.29E-06	2.15E-06	2.15E-06	1.07E-06	6.44E-06	0	1.07E-06	2.15E-06	4.29E-06	3.22E-06	1.07E-06	2.15E-06	0	2.15E-06	0.044352865	0.051313323	0.044809554	0.042980248	0.042601165	0.050764255	0.043995654	0.042878789	0.035524769	0.038707728	0.028939806	0.027803836	0.040262643	0.029893779	0.032519853	0.035071983	0.040644039	0.031455907	0.029148397	0.032014955	0.026452008	0.025235835	0.015756777	0.02386128	0.02174233	0.019424963	0.023439583	0.022659617	0.018345631	0.015532867	0.047179206	0.055697192	0.04843887	0.044239776	0.039341298	0.048243565	0.044279137	0.04151635	0.036249036	0.038199182	0.03574946	0.033175971	0.039156076	0.031741381	0.029146549	0.035812846	0.038524581	0.030998453	0.027996174	0.028511944	0.032587592	0.021753518	0.017701681	0.025015667	0.018490727	0.025755377	0.025036902	0.022926738	0.019712209	0.016821471
1	0.229517849	0.127509916	0.025501983	0.07650595	0	0.07650595	0.07650595	0.127509916	0	0	0.229517849	0.025501983	0.051003967	0.025501983	0	0.07650595	0.025501983	0.025501983	0	0.07650595	8.73E-06	4.85E-06	9.70E-07	2.91E-06	0	2.91E-06	2.91E-06	4.85E-06	0	0	8.73E-06	9.70E-07	1.94E-06	9.70E-07	0	2.91E-06	9.70E-07	9.70E-07	0	2.91E-06	0.040922086	0.040913365	0.048422301	0.03612336	0.039532708	0.028551998	0.038265828	0.042196961	0.040652972	0.034587172	0.032165787	0.037820191	0.031861086	0.03891648	0.034438965	0.031844403	0.029127881	0.03022595	0.031329867	0.032432864	0.02998386	0.029892002	0.028532879	0.024542216	0.026023468	0.024506144	0.024086332	0.028359152	0.018939912	0.019299827	0.045603587	0.039496474	0.048579275	0.042399433	0.041211427	0.037887124	0.045346999	0.039681497	0.045590205	0.039756165	0.03289199	0.046554884	0.033994273	0.038949842	0.036454845	0.031227366	0.030185303	0.029702091	0.029725073	0.030303124	0.027447973	0.029511928	0.029427951	0.022020052	0.0248529	0.020066354	0.023206022	0.024686787	0.016638679	0.016599405
1	0.079314568	0.105752757	0.052876378	0	0.026438189	0.079314568	0.052876378	0.079314568	0.052876378	0.079314568	0.185067324	0.105752757	0.052876378	0.026438189	0.052876378	0.052876378	0.052876378	0	0.079314568	0.105752757	3.13E-06	4.17E-06	2.08E-06	0	1.04E-06	3.13E-06	2.08E-06	3.13E-06	2.08E-06	3.13E-06	7.30E-06	4.17E-06	2.08E-06	1.04E-06	2.08E-06	2.08E-06	2.08E-06	0	3.13E-06	4.17E-06	0.044768843	0.053913829	0.043863655	0.044488844	0.046000839	0.03716287	0.039007005	0.04159377	0.036838582	0.031450024	0.03857855	0.03483785	0.036736686	0.03485458	0.028975941	0.033166682	0.035770955	0.02685936	0.028445823	0.030134983	0.023552204	0.026723761	0.024499051	0.021671886	0.027065639	0.023448646	0.018723446	0.017574083	0.023223358	0.019630065	0.045382249	0.04771577	0.044172445	0.045814456	0.03946017	0.038939166	0.045969746	0.03739085	0.040542094	0.032241678	0.038684032	0.041069872	0.032893063	0.034826999	0.030665639	0.030892217	0.040738552	0.02836797	0.033396766	0.029817484	0.025965558	0.027457595	0.025982025	0.026662801	0.028609347	0.023606294	0.020468286	0.015771332	0.023090189	0.023404313
1	0.380850477	0	0.084633439	0	0	0.338533758	0.084633439	0.169266879	0	0.04231672	0.126950159	0.084633439	0.211583599	0.04231672	0	0.084633439	0.169266879	0.04231672	0	0.253900318	1.12E-05	0	2.49E-06	0	0	9.94E-06	2.49E-06	4.97E-06	0	1.24E-06	3.73E-06	2.49E-06	6.21E-06	1.24E-06	0	2.49E-06	4.97E-06	1.24E-06	0	7.46E-06	0.053225585	0.045012887	0.03574806	0.045131031	0.035900671	0.043359992	0.034195701	0.03974658	0.039138074	0.02595405	0.039284735	0.03527168	0.037447263	0.037528198	0.031163865	0.033880137	0.027723291	0.030208527	0.032187963	0.025024547	0.026780056	0.026702294	0.021787246	0.024365442	0.022575479	0.022741263	0.023061317	0.022271091	0.021164233	0.019102021	0.052792246	0.048804246	0.04039222	0.043370324	0.033262295	0.045590355	0.040500978	0.038025646	0.039349138	0.027852362	0.044888586	0.036354378	0.036898913	0.038777008	0.033040056	0.039078299	0.025404872	0.032649397	0.036332626	0.025326193	0.03043235	0.02788965	0.024794957	0.025914729	0.021485731	0.026854647	0.024039742	0.023353137	0.019653998	0.016889681
1	0.1203046	0.1203046	0	0.04812184	0	0.02406092	0.04812184	0.07218276	0	0.04812184	0.144365521	0.09624368	0.04812184	0.07218276	0.07218276	0.09624368	0.07218276	0	0.02406092	0.09624368	5.34E-06	5.34E-06	0	2.14E-06	0	1.07E-06	2.14E-06	3.21E-06	0	2.14E-06	6.41E-06	4.28E-06	2.14E-06	3.21E-06	3.21E-06	4.28E-06	3.21E-06	0	1.07E-06	4.28E-06	0.048068514	0.051417546	0.044831699	0.036984064	0.048793539	0.033616188	0.028903411	0.041790279	0.046659786	0.039850155	0.031045769	0.04193187	0.030892691	0.030283418	0.034018585	0.041043447	0.02619989	0.026752656	0.030224803	0.026526457	0.021812049	0.030204438	0.030285247	0.02034103	0.022909097	0.02378958	0.027736291	0.019106457	0.020748234	0.019171888	0.050162705	0.047621898	0.044309764	0.04044575	0.047745999	0.043245233	0.033810899	0.037817506	0.045067409	0.038781666	0.036711074	0.041724277	0.030979455	0.030919061	0.035877322	0.033620312	0.034272455	0.028390226	0.032299776	0.02833304	0.021559764	0.024069359	0.028142452	0.026424281	0.027303783	0.020380219	0.027982008	0.021825176	0.021232891	0.018943172
