label	edp0	edp1	edp2	edp3	edp4	edp5	edp6	edp7	edp8	edp9	edp10	edp11	edp12	edp13	edp14	edp15	edp16	edp17	edp18	edp19
1	1.909114583	2.00234375	2.74921875	3.140364583	1.691927083	1.63046875	2.093489583	2.562760417	2.232552083	2.440364583	2.74609375	2.580989583	1.724739583	3.209635417	1.954427083	2.684635417	1.744010417	2.425260417	2.761197917	2.040364583
1	2.825	3.809375	2.6296875	3.7484375	2.590625	3.296354167	4.028125	2.847395833	3.3546875	2.7109375	3.230729167	3.074479167	2.2609375	3.508854167	3.9640625	2.408854167	2.116666667	4.600520833	2.625	2.467708333
1	2.216666667	2.883854167	2.5953125	3.075	2.432291667	2.2234375	2.1765625	2.6140625	2.080729167	2.85625	3.2828125	2.177083333	3.3046875	3.1890625	3.207291667	2.304166667	1.8390625	2.718229167	2.847916667	2.7125
1	1.686197917	2.16796875	3.280989583	2.791927083	3.325260417	2.57578125	3.096614583	2.719010417	2.833072917	3.19921875	3.025260417	2.28984375	2.16796875	2.729427083	2.192447917	2.242447917	1.78671875	2.234635417	2.51171875	2.629427083
1	2.50625	2.827604167	2.282291667	3.2546875	2.133333333	1.997395833	2.645833333	3.371875	1.614583333	2.816666667	3.445833333	1.865625	2.629166667	2.875520833	1.6984375	2.065625	1.921875	5.0546875	1.927083333	2.552083333
1	2.206510417	2.887239583	1.623697917	2.208072917	1.711197917	1.947135417	2.31640625	2.23515625	2.148697917	2.29609375	2.354947917	1.726302083	1.52734375	2.26953125	2.854427083	1.800260417	1.423697917	3.364322917	1.63203125	2.054947917
1	2.652083333	2.573958333	2.195833333	2.8859375	1.856770833	2.391145833	2.482291667	3.206770833	1.555729167	2.555729167	3.113541667	1.986458333	2.1625	2.219791667	1.50625	2.214583333	1.678645833	2.909895833	1.515625	2.4140625
1	1.864322917	2.738802083	2.474739583	2.254947917	2.46484375	2.309114583	2.273177083	2.750260417	2.816927083	2.98359375	2.907552083	2.605989583	2.184635417	2.363802083	2.436197917	1.992447917	1.88203125	2.12265625	2.600260417	2.634114583
1	2.2453125	1.4328125	1.8953125	1.6140625	1.355729167	2.7234375	1.9375	2.48125	1.365625	2.240625	2.011458333	1.455208333	2.127083333	1.6734375	1.2375	1.652604167	1.8125	2.2375	1.240625	2.172916667
1	1.871354167	2.359375	1.602604167	2.313020833	1.4859375	1.658333333	1.91875	2.5015625	1.3921875	2.361979167	2.3921875	2.0984375	1.71875	2.3828125	2.430208333	1.896875	1.750520833	1.900520833	1.806770833	2.131770833
1	2.269010417	2.776302083	2.094010417	2.601302083	3.12109375	2.56640625	1.940364583	2.345572917	1.720052083	2.723177083	2.926822917	2.198177083	2.801822917	2.288802083	2.801302083	1.998697917	1.632552083	3.07265625	2.34140625	2.64453125
1	2.239583333	1.530208333	1.836458333	1.8265625	1.3203125	1.605729167	1.705729167	1.7578125	1.942708333	2.034895833	2.046354167	1.811458333	1.4078125	1.605208333	1.694270833	1.861458333	1.5515625	1.9328125	1.934375	1.629166667
1	2.26171875	2.84453125	2.284114583	2.51484375	2.64609375	2.918489583	3.023697917	2.597135417	2.13828125	3.574739583	3.128385417	2.46328125	2.099739583	2.942447917	2.23515625	2.351302083	1.784114583	3.858072917	2.48359375	2.829427083
1	1.990625	2.10625	3.114583333	2.285416667	1.776041667	2.023958333	2.4265625	2.210416667	1.602604167	3.018229167	3.093229167	2.229166667	1.864583333	2.311458333	2.296875	2.115104167	1.3046875	2.1203125	1.769791667	2.572395833
1	1.765625	2.453125	2.025520833	4.207291667	1.720833333	2.200520833	2.466666667	2.695833333	1.857291667	2.389583333	2.521875	1.852604167	1.6953125	2.878125	2.803645833	1.602604167	1.45	2.244791667	2.100520833	2.061458333
1	2.523958333	2.372395833	2.576041667	2.001041667	2.439583333	1.922916667	2.441145833	2.224479167	2.324479167	3.08125	2.516666667	1.9046875	1.763020833	1.9859375	2.3734375	1.884375	2.229166667	2.131770833	2.364583333	2.845833333
1	2.33125	2.018229167	1.830729167	1.784375	1.5828125	1.571354167	2.122395833	1.705729167	1.257291667	1.8125	1.838020833	1.726041667	1.580208333	2.1125	3.2015625	1.471875	1.731770833	1.945833333	1.366145833	1.622395833
1	2.375520833	1.856770833	2.134895833	2.282291667	2.356770833	1.936979167	2.5546875	2.107291667	1.8453125	2.81875	2.9609375	2.498958333	1.822395833	2.577604167	2.072395833	2.543229167	2.115104167	2.060416667	1.598958333	2.316666667
1	1.933854167	2.549479167	1.486979167	1.540625	2.402083333	1.444791667	1.326041667	1.56875	1.26875	2.022395833	1.811458333	1.653125	1.743229167	2.119791667	1.986979167	2.536458333	1.701041667	2.695833333	1.764583333	1.803645833
1	1.766927083	2.54765625	1.954947917	2.151822917	1.71484375	1.758072917	2.68203125	2.75390625	1.71171875	2.29140625	2.49765625	1.943489583	1.575260417	2.839322917	2.230989583	2.282552083	1.309635417	2.690364583	1.73671875	1.834635417
1	1.523958333	2.543229167	1.5828125	2.589583333	1.536979167	1.854166667	1.943229167	2.247916667	1.349479167	2.272916667	2.543229167	1.672395833	2.340625	2.269270833	3.0234375	1.88125	1.683854167	2.792708333	1.582291667	2.086979167
1	2.288020833	2.228645833	2.221875	3.063020833	1.618229167	1.9609375	2.108854167	1.8765625	2.785416667	2.1265625	2.386979167	1.5109375	1.522916667	1.705729167	2.4078125	1.983854167	1.416145833	3.6046875	1.6203125	1.925
1	2.213802083	2.590364583	1.48984375	2.196614583	1.470572917	1.41640625	1.851302083	2.415885417	1.424739583	2.40078125	2.265364583	1.53359375	1.797135417	1.926302083	3.38828125	1.515885417	1.651822917	1.95859375	1.701822917	2.238802083
1	1.754166667	1.850520833	2.2296875	2.160416667	1.553645833	2.140104167	2.056770833	2.5890625	2.061979167	2.8421875	2.346875	1.761979167	1.74375	3.017708333	2.811458333	1.955208333	1.609895833	3.0625	2.58125	2.4140625
