label	rpssm0	rpssm1	rpssm2	rpssm3	rpssm4	rpssm5	rpssm6	rpssm7	rpssm8	rpssm9	rpssm10	rpssm11	rpssm12	rpssm13	rpssm14	rpssm15	rpssm16	rpssm17	rpssm18	rpssm19	rpssm20	rpssm21	rpssm22	rpssm23	rpssm24	rpssm25	rpssm26	rpssm27	rpssm28	rpssm29	rpssm30	rpssm31	rpssm32	rpssm33	rpssm34	rpssm35	rpssm36	rpssm37	rpssm38	rpssm39	rpssm40	rpssm41	rpssm42	rpssm43	rpssm44	rpssm45	rpssm46	rpssm47	rpssm48	rpssm49	rpssm50	rpssm51	rpssm52	rpssm53	rpssm54	rpssm55	rpssm56	rpssm57	rpssm58	rpssm59	rpssm60	rpssm61	rpssm62	rpssm63	rpssm64	rpssm65	rpssm66	rpssm67	rpssm68	rpssm69	rpssm70	rpssm71	rpssm72	rpssm73	rpssm74	rpssm75	rpssm76	rpssm77	rpssm78	rpssm79	rpssm80	rpssm81	rpssm82	rpssm83	rpssm84	rpssm85	rpssm86	rpssm87	rpssm88	rpssm89	rpssm90	rpssm91	rpssm92	rpssm93	rpssm94	rpssm95	rpssm96	rpssm97	rpssm98	rpssm99	rpssm100	rpssm101	rpssm102	rpssm103	rpssm104	rpssm105	rpssm106	rpssm107	rpssm108	rpssm109
1	5.146258503	5.207482993	5.43452381	4.650793651	3.784013605	3.569160998	4.927721088	3.741496599	5.615646259	3.840136054	5.64484127	4.992346939	5.540816327	4.024659864	4.477040816	3.964569161	4.653061224	3.905612245	4.742346939	3.242346939	5.235827664	4.775510204	5.31377551	3.87414966	4.586734694	4.310657596	4.706632653	3.632653061	4.56122449	3.540816327	4.075963719	3.4569161	3.58531746	2.131519274	2.965419501	3.115646259	2.983276644	3.195011338	4.14399093	3.756235828	3.676303855	3.525510204	3.155612245	3.022108844	3.18877551	3.51984127	3.890306122	2.994897959	5.801020408	4.219387755	3.888888889	3.702947846	3.736111111	2.735827664	2.884920635	3.266439909	3.185090703	2.971655329	5.41723356	3.777777778	4.718820862	4.494897959	4.426020408	2.789115646	2.81122449	2.963718821	3.227040816	3.255102041	5.163265306	3.591836735	3.385487528	3.336734694	3.635204082	3.411564626	3.545918367	3.477324263	3.441326531	1.56122449	3.714285714	2.102040816	5.416099773	4.428571429	4.471938776	5.074829932	5.709183673	5.793650794	5.022959184	4.102040816	7.479591837	5.642857143	4.065759637	3.979591837	4.084183673	2.996598639	3.260204082	3.402494331	3.308673469	1.928571429	4.653061224	2.836734694	4.690711111	4.7804	4.6961	2.196844444	3.3064	3.1824	3.6849	1.49	6.5524	2.8276
1	6.523809524	5.038265306	4.767006803	4.384353742	5.75085034	6.255102041	4.702380952	3.897959184	5.333333333	8.292517007	6.74914966	5.75	5.334183673	3.177721088	5.030612245	4.463435374	4.783163265	4.844387755	4.49744898	6.619897959	5.267006803	5.50255102	5.035714286	3.294217687	4.604591837	4.583333333	4.948979592	3.586734694	3.637755102	6.392857143	3.989795918	3.633503401	3.365646259	2.489795918	3.216836735	4.678004535	5.732993197	3.914965986	3.744897959	5.43877551	5.114795918	4.056122449	4.257653061	3.420918367	4.096938776	5.230442177	5.905612245	4.645408163	4.543367347	6.74744898	6.666666667	4.808106576	4.985827664	3.810657596	4.343820862	6.032879819	6.76814059	6.113378685	5.419501134	7.263038549	7.808673469	5.479591837	5.793367347	3.727040816	3.448979592	4.669217687	6.25255102	7.288265306	6.084183673	7.982142857	5.486394558	5.589285714	4.454081633	3.183673469	3.757653061	4.598639456	5.852040816	2.316326531	2.5	5.112244898	4.81292517	4.487244898	3.862244898	4.170068027	4.410714286	6.734693878	7.392857143	3.153061224	3.765306122	5.826530612	8.224489796	7.895408163	6.494897959	5.241496599	5.982142857	7.132653061	8.178571429	6.224489796	5.265306122	5.612244898	6.829377778	5.2276	4.18	2.047288889	3.8681	5.561822222	5.8736	2.5296	3.3664	7.64
1	4.376417234	5.197845805	5.599206349	3.770975057	3.936791383	3.70521542	5.10345805	4.903628118	5.032879819	8.019274376	5.061791383	4.198979592	5.275510204	4.392857143	6.053571429	6.252267574	5.920918367	7.12755102	7.586734694	9.75	3.73100907	5.099489796	5.25255102	4.085884354	4.698979592	5.720804989	5.87755102	6.49744898	5.956632653	8.395408163	4.290249433	4.399659864	3.433673469	2.120181406	3.482142857	3.489795918	3.995748299	3.411564626	3.819727891	4.323129252	4.893424036	5.780612245	4.846938776	3.353741497	3.028061224	2.689342404	3.992346939	3.275510204	3.826530612	4.857142857	4.952380952	5.91893424	4.371315193	3.451247166	3.171485261	3.185941043	3.85515873	2.924036281	4.066893424	4.638321995	5.736111111	6.405612245	5.660714286	2.522959184	2.346938776	2.487811791	3.076530612	3.798469388	3.094387755	3.56377551	3.621315193	6.086734694	5.403061224	4.523809524	3.625	4.009070295	4.349489796	3.683673469	4.316326531	7.010204082	4.971655329	6.862244898	5.056122449	3.928571429	3.869897959	4.202947846	5.798469388	2.612244898	3.979591837	5.285714286	7.760770975	8.75	7.219387755	4.588435374	4.676020408	4.992063492	5.441326531	5.816326531	5.693877551	4.102040816	4.596266667	5.8016	4.9925	2.455288889	3.1121	3.292488889	4.8425	3.7936	4.9984	8.25
1	2.571428571	5.192460317	6.094671202	2.787981859	3.9569161	3.454648526	3.157596372	5.76984127	3.89569161	2.780045351	4.431405896	5.594387755	6.540816327	2.565192744	4.892857143	4.60600907	3.464285714	7.005102041	5.137755102	4.056122449	4.515589569	5.882653061	6.665816327	2.901077098	5.201530612	5.662981859	4.517857143	6.375	5.599489796	4.548469388	3.329931973	3.072278912	3.586734694	1.494331066	3.265306122	3.145124717	2.469387755	5.231292517	4.017006803	2.663265306	4.984126984	5.329081633	6.306122449	3.821995465	4.821428571	4.063492063	4.484693878	7.93877551	5.846938776	5.091836735	5.217687075	4.715136054	5.573129252	3.606575964	4.962585034	4.43877551	4.176870748	6.608843537	6.394557823	4.870748299	4.573412698	4.173469388	4.951530612	2.598356009	4.645408163	3.873866213	3.548469388	6.375	5.058673469	3.640306122	5.327664399	7.130102041	6.994897959	4.907029478	7.387755102	7.628117914	6.520408163	6.510204082	3.908163265	4.724489796	4.422902494	4.283163265	4.821428571	4.430839002	6.43877551	6.131519274	5.285714286	6.081632653	5.663265306	3.989795918	3.249433107	4.701530612	5.239795918	2.91723356	4.030612245	4.407029478	3.418367347	4.724489796	3.775510204	1.857142857	3.098177778	5.3661	5.9709	1.298888889	5.4481	4.965555556	3.8764	6.3764	4.8564	2.4964
1	4.172335601	5.235260771	4.527777778	4.268707483	4.626417234	6.243764172	5.684240363	3.029478458	6.270975057	3.485260771	6.81547619	6.216836735	5.482142857	3.737244898	4.517857143	5.787131519	5.227040816	4.778061224	7.24744898	4.512755102	5.740646259	5.073979592	4.288265306	3.206632653	3.803571429	5.41638322	4.757653061	3.196428571	6.267857143	3.206632653	4.551020408	4.015306122	3.994897959	2.078231293	2.31462585	3.044217687	2.882653061	3.380952381	5.003401361	2.380952381	4.539115646	5.153061224	4.551020408	2.879251701	1.857142857	2.089002268	2.566326531	3.341836735	5.454081633	1.586734694	6.222222222	6.020975057	5.500566893	3.477324263	2.78968254	2.48185941	2.779478458	4.85260771	7.148526077	2.777777778	6.145408163	5.844387755	4.99744898	2.910714286	2.875	2.736111111	3.701530612	3.788265306	6.145408163	2.492346939	3.707482993	4.454081633	3.535714286	3.12585034	2.586734694	4.638321995	3.892857143	1.632653061	4.989795918	1.551020408	4.163265306	6.770408163	6.903061224	6.69047619	5.586734694	7.488662132	7.015306122	6.224489796	7.969387755	5.693877551	3.56462585	4.454081633	3.545918367	2.670068027	1.637755102	2.869614512	2.719387755	1.734693878	4.744897959	0.795918367	4.930488889	6.1716	4.9224	2.341511111	2.4384	4.403066667	4.0576	2.1076	8.0484	0.9744
1	3.462585034	3.776927438	4.258219955	3.858276644	3.344104308	3.731292517	4.942743764	2.958049887	3.845804989	6.145124717	4.739512472	3.484693878	4.107142857	2.197562358	2.915816327	2.612528345	3.681122449	3.125	3.798469388	4.706632653	4.282879819	3.130102041	3.482142857	2.550453515	3.489795918	3.108276644	4.755102041	2.443877551	3.617346939	5.158163265	3.263038549	2.179421769	2.909013605	1.484126984	2.852040816	2.828798186	3.634353742	2.479591837	3.37414966	4.972789116	3.48015873	3.568877551	4.068877551	2.798752834	2.37755102	3.013038549	3.698979592	3.178571429	3.025510204	4.678571429	3.658730159	3.208900227	3.724206349	2.698412698	2.952947846	3.396825397	3.983560091	3.396825397	4.318594104	4.828798186	5.623015873	4.808673469	5.420918367	3.39399093	2.918367347	3.485827664	4.051020408	5.25	5.413265306	5.076530612	2.835600907	2.757653061	2.854591837	2.514739229	2.964285714	3.188208617	4.801020408	1.244897959	2.459183673	4.765306122	2.611111111	3.676020408	4.181122449	3.909297052	4.025510204	4.752834467	5.494897959	2.714285714	4.071428571	6.43877551	5.420634921	4.196428571	3.395408163	3.746031746	5.596938776	5.841269841	7.260204082	3.530612245	5.520408163	7.275510204	3.5924	3.5304	3.9325	1.672222222	2.76	3.1876	4.6276	1.5796	3.9776	6.6916
1	2.74829932	4.818594104	4.706349206	3.797052154	2.210600907	2.924036281	3.470804989	3.029478458	6.094104308	1.468253968	5.275226757	5.359693878	5.548469388	4.096088435	4.158163265	5.016723356	4.31122449	4.99744898	7.834183673	4.058673469	4.020124717	4.109693878	4.043367347	4.303571429	4.408163265	5.441893424	5.081632653	3.854591837	7.793367347	3.701530612	3.121315193	3.241496599	3.299319728	2.585034014	3.449829932	4.145124717	4.618197279	3.146258503	5.020408163	3.034013605	2.890873016	4.543367347	4.125	2.732142857	2.255102041	3.108560091	3.663265306	2.49744898	4.793367347	1.619897959	3.858276644	4.693877551	4.343537415	2.811791383	3.477040816	4.210884354	4.227040816	3.017006803	5.666666667	2.585034014	4.66553288	5.852040816	5.556122449	3.292517007	2.844387755	3.709750567	3.589285714	4.071428571	6.153061224	2.836734694	1.839002268	3.520408163	3.255102041	3.683673469	2.987244898	4.379818594	4.635204082	2.020408163	5.43877551	1.826530612	4.587301587	6.795918367	7.010204082	5.908163265	5.517857143	6.760770975	7.778061224	5.530612245	6.704081633	5.051020408	1.386621315	3.418367347	2.969387755	2.829931973	2.089285714	3.498866213	3.665816327	1.295918367	4.510204082	0.93877551	2.396666667	5.66	5.12	2.201111111	2.4029	4.0656	4.4401	2.16	8.1216	0.8384
1	3.463718821	4.45861678	5.08446712	2.941043084	3.352324263	3.735827664	5.014739229	3.33106576	4.538548753	4.297052154	4.467687075	3.994897959	5.096938776	3.578798186	5.094387755	5.058390023	5.010204082	4.556122449	6.433673469	5.596938776	4.737244898	5.068877551	5.844387755	4.389172336	5.887755102	5.933390023	6.06377551	4.533163265	6.665816327	5.68622449	2.944444444	2.957482993	3.862244898	1.596371882	3.653911565	2.502267574	3.462585034	3.612244898	4.56122449	3.653061224	4.348639456	4.637755102	5.153061224	2.680839002	4.318877551	3.276077098	5	4.801020408	5.260204082	4.841836735	3.768707483	4.75	5.50170068	2.282312925	3.330782313	2.253968254	3.863945578	4.629251701	4.170068027	3.867346939	5.579081633	6.145408163	6.880102041	3.220804989	4.632653061	3.135770975	4.359693878	6.466836735	4.599489796	4.466836735	3.62244898	4.841836735	5.709183673	3.709750567	4.834183673	4.23015873	4.469387755	3.959183673	5.316326531	4.571428571	3.336734694	4.964285714	5.352040816	4.689342404	5.977040816	4.985260771	6.734693878	4.959183673	6.459183673	5.918367347	4.323129252	5.586734694	5.576530612	2.900226757	4.956632653	3.85600907	5.591836735	4.346938776	4.989795918	4.673469388	3.326622222	4.9536	6.0956	1.633955556	4.4581	3.303288889	5.1124	3.89	5.5536	4.69
1	2.065759637	3.960884354	4.265306122	2.510204082	1.884353742	3.119047619	2.202380952	1.241496599	3.394557823	0.972789116	4.401077098	4.640306122	5.293367347	2.390873016	2.99744898	3.683390023	2.788265306	3.323979592	4.303571429	2.864795918	4.533730159	4.579081633	5.007653061	2.850056689	3.660714286	4.10515873	3.395408163	3.283163265	5.323979592	3.007653061	2.549886621	2.058390023	3.441043084	2.010204082	2.468253968	2.553287982	2.027777778	2.743764172	5.475056689	2.475056689	1.845804989	3.520408163	3.928571429	2.937641723	2.224489796	2.682539683	2.168367347	2.081632653	4.489795918	1.510204082	2.908163265	3.81462585	4.319727891	3.055555556	2.914965986	3.002267574	2.471088435	3.068027211	5.370748299	2.425170068	1.867913832	3	3.510204082	2.592403628	2.239795918	2.745464853	2.096938776	2.280612245	4.709183673	1.903061224	1.5430839	2.841836735	3.683673469	2.617913832	1.602040816	2.750566893	1.923469388	1.326530612	3.969387755	1.051020408	3.72675737	4.403061224	4.826530612	5.393424036	4.653061224	5.424036281	4.841836735	3.959183673	6.724489796	3.908163265	0.937641723	2.617346939	3.173469388	2.692743764	1.469387755	2.390022676	1.647959184	1.183673469	4.091836735	0.785714286	1.699066667	3.9181	4.84	1.64	2.15	3.325733333	2.0444	1.3284	6.1424	0.6356
1	3.234693878	3.957482993	3.911564626	3.501133787	2.363945578	3.260770975	4.605442177	2.224489796	4.942176871	4.37755102	4.458900227	4.308673469	4.946428571	2.987244898	2.711734694	2.723072562	4.573979592	3.691326531	5.150510204	4.232142857	4.462301587	4.829081633	5.492346939	3.74914966	3.048469388	3.226473923	5.364795918	4.038265306	5.395408163	4.650510204	2.795918367	2.306689342	3.175736961	1.638321995	2.073696145	2.967120181	3.264172336	2.427437642	4.927437642	4.492063492	2.199546485	2.612244898	3.107142857	1.914965986	1.37755102	2.450113379	2.765306122	1.306122449	3.520408163	3.724489796	3.019274376	3.051587302	3.907029478	2.199546485	2.162131519	3.179138322	3.141723356	2.063492063	4.148526077	4.577097506	4.134920635	3.826530612	4.336734694	3.030612245	3.428571429	4.096371882	4.581632653	3.5	5.275510204	5.918367347	1.876417234	3.168367347	3.602040816	2.761904762	1.37755102	2.412698413	4.051020408	1.367346939	3.826530612	3.540816327	3.896825397	4.443877551	4.632653061	4.537414966	3.775510204	5.004535147	5.469387755	3.224489796	6.357142857	4.785714286	4.427437642	5.301020408	5.969387755	3.666666667	3.224489796	4.310657596	4.581632653	3.408163265	3.948979592	5.520408163	3.045555556	4.0725	4.8116	1.681822222	1.38	2.847511111	4.4956	1.3076	5.3104	5.2644
