label	hydrophobicity_PRAM900101.1.residue0	hydrophobicity_PRAM900101.1.residue25	hydrophobicity_PRAM900101.1.residue50	hydrophobicity_PRAM900101.1.residue75	hydrophobicity_PRAM900101.1.residue100	hydrophobicity_PRAM900101.2.residue0	hydrophobicity_PRAM900101.2.residue25	hydrophobicity_PRAM900101.2.residue50	hydrophobicity_PRAM900101.2.residue75	hydrophobicity_PRAM900101.2.residue100	hydrophobicity_PRAM900101.3.residue0	hydrophobicity_PRAM900101.3.residue25	hydrophobicity_PRAM900101.3.residue50	hydrophobicity_PRAM900101.3.residue75	hydrophobicity_PRAM900101.3.residue100	hydrophobicity_ARGP820101.1.residue0	hydrophobicity_ARGP820101.1.residue25	hydrophobicity_ARGP820101.1.residue50	hydrophobicity_ARGP820101.1.residue75	hydrophobicity_ARGP820101.1.residue100	hydrophobicity_ARGP820101.2.residue0	hydrophobicity_ARGP820101.2.residue25	hydrophobicity_ARGP820101.2.residue50	hydrophobicity_ARGP820101.2.residue75	hydrophobicity_ARGP820101.2.residue100	hydrophobicity_ARGP820101.3.residue0	hydrophobicity_ARGP820101.3.residue25	hydrophobicity_ARGP820101.3.residue50	hydrophobicity_ARGP820101.3.residue75	hydrophobicity_ARGP820101.3.residue100	hydrophobicity_ZIMJ680101.1.residue0	hydrophobicity_ZIMJ680101.1.residue25	hydrophobicity_ZIMJ680101.1.residue50	hydrophobicity_ZIMJ680101.1.residue75	hydrophobicity_ZIMJ680101.1.residue100	hydrophobicity_ZIMJ680101.2.residue0	hydrophobicity_ZIMJ680101.2.residue25	hydrophobicity_ZIMJ680101.2.residue50	hydrophobicity_ZIMJ680101.2.residue75	hydrophobicity_ZIMJ680101.2.residue100	hydrophobicity_ZIMJ680101.3.residue0	hydrophobicity_ZIMJ680101.3.residue25	hydrophobicity_ZIMJ680101.3.residue50	hydrophobicity_ZIMJ680101.3.residue75	hydrophobicity_ZIMJ680101.3.residue100	hydrophobicity_PONP930101.1.residue0	hydrophobicity_PONP930101.1.residue25	hydrophobicity_PONP930101.1.residue50	hydrophobicity_PONP930101.1.residue75	hydrophobicity_PONP930101.1.residue100	hydrophobicity_PONP930101.2.residue0	hydrophobicity_PONP930101.2.residue25	hydrophobicity_PONP930101.2.residue50	hydrophobicity_PONP930101.2.residue75	hydrophobicity_PONP930101.2.residue100	hydrophobicity_PONP930101.3.residue0	hydrophobicity_PONP930101.3.residue25	hydrophobicity_PONP930101.3.residue50	hydrophobicity_PONP930101.3.residue75	hydrophobicity_PONP930101.3.residue100	hydrophobicity_CASG920101.1.residue0	hydrophobicity_CASG920101.1.residue25	hydrophobicity_CASG920101.1.residue50	hydrophobicity_CASG920101.1.residue75	hydrophobicity_CASG920101.1.residue100	hydrophobicity_CASG920101.2.residue0	hydrophobicity_CASG920101.2.residue25	hydrophobicity_CASG920101.2.residue50	hydrophobicity_CASG920101.2.residue75	hydrophobicity_CASG920101.2.residue100	hydrophobicity_CASG920101.3.residue0	hydrophobicity_CASG920101.3.residue25	hydrophobicity_CASG920101.3.residue50	hydrophobicity_CASG920101.3.residue75	hydrophobicity_CASG920101.3.residue100	hydrophobicity_ENGD860101.1.residue0	hydrophobicity_ENGD860101.1.residue25	hydrophobicity_ENGD860101.1.residue50	hydrophobicity_ENGD860101.1.residue75	hydrophobicity_ENGD860101.1.residue100	hydrophobicity_ENGD860101.2.residue0	hydrophobicity_ENGD860101.2.residue25	hydrophobicity_ENGD860101.2.residue50	hydrophobicity_ENGD860101.2.residue75	hydrophobicity_ENGD860101.2.residue100	hydrophobicity_ENGD860101.3.residue0	hydrophobicity_ENGD860101.3.residue25	hydrophobicity_ENGD860101.3.residue50	hydrophobicity_ENGD860101.3.residue75	hydrophobicity_ENGD860101.3.residue100	hydrophobicity_FASG890101.1.residue0	hydrophobicity_FASG890101.1.residue25	hydrophobicity_FASG890101.1.residue50	hydrophobicity_FASG890101.1.residue75	hydrophobicity_FASG890101.1.residue100	hydrophobicity_FASG890101.2.residue0	hydrophobicity_FASG890101.2.residue25	hydrophobicity_FASG890101.2.residue50	hydrophobicity_FASG890101.2.residue75	hydrophobicity_FASG890101.2.residue100	hydrophobicity_FASG890101.3.residue0	hydrophobicity_FASG890101.3.residue25	hydrophobicity_FASG890101.3.residue50	hydrophobicity_FASG890101.3.residue75	hydrophobicity_FASG890101.3.residue100	normwaalsvolume.1.residue0	normwaalsvolume.1.residue25	normwaalsvolume.1.residue50	normwaalsvolume.1.residue75	normwaalsvolume.1.residue100	normwaalsvolume.2.residue0	normwaalsvolume.2.residue25	normwaalsvolume.2.residue50	normwaalsvolume.2.residue75	normwaalsvolume.2.residue100	normwaalsvolume.3.residue0	normwaalsvolume.3.residue25	normwaalsvolume.3.residue50	normwaalsvolume.3.residue75	normwaalsvolume.3.residue100	polarity.1.residue0	polarity.1.residue25	polarity.1.residue50	polarity.1.residue75	polarity.1.residue100	polarity.2.residue0	polarity.2.residue25	polarity.2.residue50	polarity.2.residue75	polarity.2.residue100	polarity.3.residue0	polarity.3.residue25	polarity.3.residue50	polarity.3.residue75	polarity.3.residue100	polarizability.1.residue0	polarizability.1.residue25	polarizability.1.residue50	polarizability.1.residue75	polarizability.1.residue100	polarizability.2.residue0	polarizability.2.residue25	polarizability.2.residue50	polarizability.2.residue75	polarizability.2.residue100	polarizability.3.residue0	polarizability.3.residue25	polarizability.3.residue50	polarizability.3.residue75	polarizability.3.residue100	charge.1.residue0	charge.1.residue25	charge.1.residue50	charge.1.residue75	charge.1.residue100	charge.2.residue0	charge.2.residue25	charge.2.residue50	charge.2.residue75	charge.2.residue100	charge.3.residue0	charge.3.residue25	charge.3.residue50	charge.3.residue75	charge.3.residue100	secondarystruct.1.residue0	secondarystruct.1.residue25	secondarystruct.1.residue50	secondarystruct.1.residue75	secondarystruct.1.residue100	secondarystruct.2.residue0	secondarystruct.2.residue25	secondarystruct.2.residue50	secondarystruct.2.residue75	secondarystruct.2.residue100	secondarystruct.3.residue0	secondarystruct.3.residue25	secondarystruct.3.residue50	secondarystruct.3.residue75	secondarystruct.3.residue100	solventaccess.1.residue0	solventaccess.1.residue25	solventaccess.1.residue50	solventaccess.1.residue75	solventaccess.1.residue100	solventaccess.2.residue0	solventaccess.2.residue25	solventaccess.2.residue50	solventaccess.2.residue75	solventaccess.2.residue100	solventaccess.3.residue0	solventaccess.3.residue25	solventaccess.3.residue50	solventaccess.3.residue75	solventaccess.3.residue100
1	14	28	54	78	98	4	26	56	76	100	2	10	30	50	90	4	28	46	74	100	2	16	42	82	94	8	24	48	66	90	4	28	54	80	100	2	14	20	62	88	8	24	48	66	90	6	28	54	74	100	4	18	46	84	94	2	12	38	56	90	4	28	54	78	100	2	18	38	66	92	8	8	48	50	90	14	34	56	78	98	4	22	46	80	100	2	10	30	50	90	6	26	44	78	100	4	22	46	60	84	2	18	48	66	92	4	26	58	78	100	10	20	36	54	96	2	14	52	72	94	2	12	38	56	90	4	22	46	70	100	14	28	54	86	98	4	26	46	78	100	10	20	36	64	96	2	14	52	72	94	14	14	42	62	94	2	22	48	68	100	34	34	74	78	98	2	14	38	82	96	8	30	52	64	90	4	26	44	70	100	4	18	36	64	92	14	28	54	78	98	2	26	56	70	100
1	4	32	56	74	100	6	14	40	64	90	2	16	36	66	98	6	20	56	74	100	2	12	48	66	90	8	22	38	82	98	6	28	52	74	100	2	4	36	54	90	10	24	50	84	98	4	32	56	74	100	14	14	52	68	90	2	16	34	58	98	4	28	54	72	100	2	12	34	84	96	8	16	38	50	98	4	32	60	76	100	6	8	38	44	88	2	16	34	66	98	4	32	54	72	100	6	6	44	64	86	2	16	36	82	98	6	14	44	64	88	10	34	58	80	100	2	12	32	52	90	2	16	34	58	98	6	14	40	62	88	4	42	60	76	100	6	14	40	60	88	10	34	64	84	100	2	12	32	52	90	4	28	48	54	72	2	18	40	66	98	20	42	70	76	100	2	26	54	80	100	6	16	38	50	98	14	18	60	74	86	8	22	38	82	98	4	32	56	74	100	2	6	30	62	90
1	6	20	28	68	100	4	18	42	60	96	2	24	64	76	94	10	18	38	62	98	2	26	44	64	100	8	32	70	80	96	4	18	38	56	100	2	16	52	74	94	8	32	70	80	96	12	18	28	68	98	4	10	40	48	100	2	32	66	78	96	6	18	40	62	100	2	32	54	76	96	24	24	24	58	66	6	22	48	86	100	4	14	36	50	82	2	24	64	76	94	6	14	38	60	100	10	10	20	62	80	2	32	56	76	96	4	14	38	56	98	8	24	64	76	94	2	6	48	86	100	2	32	66	78	96	4	14	38	54	82	6	20	28	68	100	4	14	38	54	98	8	24	64	76	94	2	6	48	86	100	6	6	26	40	100	2	24	52	74	96	22	22	22	22	98	2	26	44	72	100	16	18	58	78	96	10	14	42	62	98	4	30	52	66	94	6	20	28	68	100	2	14	50	80	96
1	4	16	52	66	98	10	36	50	82	92	2	28	40	76	100	12	20	52	74	98	2	24	38	50	100	6	28	58	80	96	12	20	46	72	98	2	4	32	56	100	6	28	58	80	96	4	18	54	74	98	26	26	42	50	88	2	24	40	70	100	4	20	54	78	98	2	38	50	68	100	6	8	28	34	96	4	18	54	72	98	26	26	42	46	92	2	28	40	76	100	4	14	52	66	98	20	26	44	82	88	2	28	46	68	100	24	30	46	82	92	6	20	48	74	98	2	4	50	58	100	2	24	40	70	100	26	36	46	84	92	4	18	52	66	98	26	36	46	64	92	6	22	48	76	98	2	4	50	58	100	4	4	4	4	56	2	26	46	78	100	14	22	54	66	98	2	18	50	70	100	6	10	30	48	96	20	36	64	84	92	6	28	42	70	96	4	16	52	66	98	2	10	58	82	100
1	10	20	36	48	60	4	16	44	78	100	2	24	68	86	98	4	14	26	50	84	2	32	42	60	100	12	58	70	88	98	4	22	44	64	100	2	2	8	34	72	12	58	74	88	98	4	14	22	38	52	6	36	54	76	100	2	24	68	86	98	4	18	38	52	84	2	32	62	88	100	12	12	68	80	92	10	20	36	48	60	4	16	56	78	100	2	24	70	86	98	10	20	38	48	60	4	6	16	64	84	2	32	68	86	100	4	16	42	76	100	12	24	52	72	98	2	34	46	66	92	2	24	68	86	98	4	16	44	78	100	10	20	36	48	60	4	16	42	76	100	12	24	52	72	98	2	34	46	66	92	36	36	40	46	60	2	24	62	80	100	10	20	28	48	52	2	30	50	70	100	4	12	66	72	92	6	10	38	64	84	6	56	72	86	100	10	20	36	48	60	2	2	8	16	44
1	4	14	44	64	96	8	24	48	72	98	2	16	60	76	100	14	38	64	74	94	2	12	30	48	96	10	32	62	80	100	4	22	44	70	96	2	2	24	30	68	10	32	66	80	100	14	44	70	82	98	4	18	28	48	96	2	16	60	76	100	4	26	52	74	98	2	16	32	56	90	40	40	60	62	100	4	22	48	70	98	8	20	38	60	88	2	16	62	78	100	4	22	46	74	96	26	26	58	72	98	2	18	36	68	100	8	26	56	72	98	10	16	68	86	100	2	12	40	50	96	2	16	60	76	100	8	26	54	72	98	4	14	44	64	96	8	20	38	64	88	10	30	68	86	100	2	12	40	50	96	4	6	28	46	96	2	26	54	78	100	14	14	64	70	94	2	16	36	70	96	30	40	62	72	100	26	38	64	80	98	8	20	40	68	100	4	14	44	64	96	2	24	54	80	98
1	4	40	68	88	100	10	30	42	72	96	2	16	28	56	86	18	32	52	84	100	2	10	42	72	94	14	16	48	60	86	4	34	58	80	100	2	2	12	20	44	14	16	48	60	86	8	26	52	74	100	4	32	54	80	96	2	16	28	56	86	4	30	52	78	100	2	16	42	62	94	56	56	56	56	86	4	40	68	88	100	10	30	42	72	96	2	14	24	50	86	4	26	58	78	100	18	18	34	68	96	2	20	44	62	94	10	32	46	72	96	12	20	48	68	100	2	4	44	66	90	2	16	28	56	86	10	30	42	72	96	4	40	68	88	100	10	32	46	72	96	12	20	48	68	100	2	4	44	66	90	4	4	8	66	90	2	24	44	68	98	52	52	70	88	100	2	24	54	76	100	12	12	20	22	86	26	32	46	70	96	10	24	48	72	96	4	40	68	88	100	2	2	26	30	44
1	10	14	30	82	98	6	34	58	74	90	2	24	46	60	100	6	12	52	82	98	2	20	40	66	94	4	36	50	70	100	6	16	34	74	98	2	26	46	64	94	4	36	50	70	100	10	32	62	82	98	6	16	28	58	88	2	24	46	64	100	6	20	42	80	98	2	38	56	70	100	4	4	24	26	68	8	16	58	82	98	6	22	52	72	90	2	24	46	60	100	12	16	32	80	96	6	10	42	62	98	2	26	50	68	100	6	26	52	72	90	4	24	50	68	100	2	16	36	70	94	2	24	46	64	100	6	34	54	74	90	10	16	32	82	98	6	22	52	72	90	4	26	56	78	100	2	16	36	70	94	14	16	28	40	94	2	26	52	72	100	82	82	82	82	96	2	28	46	76	100	4	18	54	66	90	6	10	42	62	98	4	24	44	64	100	10	14	30	82	98	2	46	58	78	90
1	4	16	64	72	92	8	24	42	60	100	2	18	36	76	98	8	28	54	70	100	2	20	46	76	98	6	6	26	36	96	8	32	52	70	100	2	18	40	76	98	6	6	12	26	96	4	24	58	72	100	14	28	42	60	94	2	18	36	76	98	4	28	54	72	100	2	22	46	78	98	6	6	6	12	36	4	16	64	72	92	8	28	42	60	100	2	18	40	80	98	4	10	62	72	92	24	28	52	58	100	2	20	40	76	98	8	24	42	60	100	10	20	64	80	96	2	4	36	46	98	2	18	36	76	98	8	24	42	60	100	4	16	64	72	92	8	24	42	60	100	10	20	64	80	96	2	4	36	46	98	4	4	4	4	84	2	24	48	72	100	70	70	70	70	90	2	26	56	78	98	6	18	30	54	100	8	28	42	58	74	6	22	38	74	96	4	16	64	72	92	2	8	40	54	100
1	4	26	46	62	86	8	18	44	70	96	2	20	52	88	100	8	16	32	60	82	2	34	50	74	96	6	20	58	84	100	8	24	42	62	96	2	4	48	78	92	6	20	58	84	100	4	16	38	60	86	12	34	50	64	96	2	20	58	88	100	4	18	42	64	86	2	36	58	88	100	6	6	20	22	90	4	32	54	72	86	8	16	40	56	96	2	20	52	88	100	4	18	38	60	86	8	10	44	64	84	2	22	56	88	100	8	24	50	68	96	14	30	52	88	100	2	6	34	72	90	2	20	58	88	100	8	18	44	64	96	4	26	46	62	86	8	18	42	60	96	14	32	58	84	100	2	6	34	72	90	4	12	34	48	86	2	22	50	78	100	38	38	60	68	76	2	30	48	74	100	6	10	36	66	92	16	24	54	68	84	6	24	56	88	100	4	26	46	62	86	2	10	28	54	84
1	10	18	52	68	94	6	16	54	82	98	2	30	40	64	100	6	16	52	68	86	2	24	46	60	100	4	28	64	78	92	4	16	54	72	98	2	24	36	50	100	8	32	64	82	92	6	16	28	66	88	10	26	54	86	98	2	32	42	72	100	6	14	28	68	94	2	36	54	76	100	4	4	30	38	90	8	18	52	80	94	4	12	54	70	98	2	32	40	60	100	10	16	52	68	94	6	6	18	44	88	2	34	50	76	100	6	20	48	70	98	18	40	52	78	100	2	10	26	66	94	2	32	42	72	100	6	12	48	70	98	10	18	52	68	94	6	16	54	70	98	8	32	46	76	100	2	10	26	66	94	10	10	24	26	94	2	30	50	76	100	20	20	20	62	74	2	26	54	70	98	4	30	46	82	100	8	16	28	62	88	4	38	50	76	100	10	18	52	68	94	2	8	22	56	92
1	4	46	66	80	100	8	26	44	76	96	2	10	20	50	78	16	34	48	72	98	2	24	44	80	100	10	14	30	58	92	16	34	54	82	98	2	4	28	60	100	10	14	30	58	92	4	16	48	72	100	8	26	44	80	96	2	12	30	56	92	4	32	54	74	100	2	26	44	70	96	10	10	12	20	50	4	42	60	74	100	16	26	40	82	96	2	10	20	50	78	4	32	54	72	100	14	14	36	74	90	2	22	42	64	96	14	26	44	76	96	10	18	46	62	98	2	6	52	66	100	2	12	30	56	92	14	26	40	76	96	4	8	60	72	100	16	32	44	82	96	10	18	46	62	98	2	6	52	66	100	4	4	60	66	100	2	24	44	74	96	46	46	54	72	98	2	24	54	80	100	10	12	36	56	92	14	16	34	72	76	10	22	40	76	96	4	46	66	80	100	2	14	36	58	92
1	6	10	28	42	98	4	20	48	66	86	2	30	60	78	100	4	10	32	40	98	2	22	48	72	92	12	20	58	78	100	4	26	42	72	98	2	2	22	24	90	12	30	58	76	100	4	10	26	38	98	8	42	56	72	92	2	30	60	78	100	4	20	32	44	98	2	18	54	74	100	14	36	64	78	94	6	16	28	44	98	4	26	48	66	84	2	36	60	76	100	6	22	34	44	98	4	4	20	26	66	2	36	62	78	100	4	26	48	64	84	6	30	54	78	100	2	14	24	76	92	2	30	60	78	100	4	26	48	66	84	6	10	28	42	98	4	26	48	66	84	6	28	54	70	100	2	14	24	76	92	8	8	24	42	92	2	28	54	74	100	6	6	6	32	98	2	18	44	70	100	4	26	62	80	94	20	20	34	40	66	12	48	64	78	100	6	10	28	42	98	2	4	20	34	86
1	4	34	68	84	100	16	32	44	60	94	2	12	26	54	92	16	40	66	84	100	2	6	42	72	96	8	14	28	54	88	16	40	66	84	100	2	4	34	50	92	8	14	28	54	88	4	34	64	80	100	20	32	52	78	96	2	14	28	56	92	4	34	64	82	100	2	20	46	60	92	8	10	22	28	88	4	44	66	82	100	16	20	40	52	94	2	12	26	54	92	4	34	58	84	100	30	32	64	70	86	2	18	36	56	92	16	32	44	60	100	8	22	56	76	98	2	4	34	50	96	2	14	28	56	92	16	32	44	60	94	4	34	68	84	100	16	20	40	60	100	8	24	56	74	98	2	4	34	50	96	4	4	34	50	96	2	22	44	68	94	66	66	80	84	100	2	20	52	74	98	8	14	28	62	92	16	32	48	70	100	8	20	36	56	92	4	34	68	84	100	2	16	44	62	94
1	4	22	42	72	100	6	36	50	80	98	2	14	46	64	82	10	26	54	78	96	2	6	38	58	100	8	18	50	64	98	10	28	56	80	100	2	2	6	32	46	8	18	50	64	98	4	22	40	76	98	6	34	54	78	100	2	14	32	62	82	4	26	50	78	100	2	30	46	64	94	8	8	14	20	82	4	22	38	72	100	40	44	58	80	94	2	14	46	64	82	4	24	52	76	100	10	18	48	54	98	2	14	46	64	94	12	28	54	86	98	8	26	60	66	76	2	6	20	38	100	2	14	32	62	82	18	40	54	80	98	4	16	38	72	100	12	28	56	86	96	8	26	52	66	98	2	6	20	38	100	4	4	34	42	100	2	30	52	74	98	12	22	28	84	96	2	26	58	70	100	8	14	30	40	82	10	22	50	86	98	8	32	58	74	94	4	22	42	72	100	2	6	30	40	98
1	6	56	74	86	100	16	32	48	66	96	2	12	26	42	90	6	20	58	72	100	2	22	46	82	98	4	14	36	54	96	6	32	60	76	100	2	12	22	46	94	4	14	36	54	96	6	38	62	76	100	8	32	48	80	98	2	14	30	54	96	6	28	62	78	100	2	24	44	68	96	4	4	18	42	70	6	38	72	84	100	16	28	48	66	92	2	12	26	42	90	8	56	72	86	100	6	16	38	66	78	2	22	42	64	96	16	28	48	66	92	6	22	50	72	100	2	4	46	84	98	2	14	30	54	96	16	32	48	66	92	6	46	72	84	100	16	28	48	66	92	6	22	42	72	100	2	4	46	84	98	8	8	84	94	98	2	22	44	68	96	56	56	58	72	100	2	36	56	84	100	4	18	30	64	96	6	6	38	74	78	4	22	40	60	92	6	56	74	86	100	2	20	46	64	96
1	4	24	46	82	96	8	28	44	58	88	2	10	64	80	100	14	26	36	74	96	2	12	52	66	94	16	20	56	78	100	4	26	42	68	96	2	10	54	64	80	16	20	56	78	100	14	26	42	72	96	4	24	50	68	94	2	10	64	80	100	4	24	42	74	96	2	12	50	66	100	70	70	70	70	98	4	20	46	78	96	8	32	40	58	88	2	10	64	80	100	4	24	46	82	96	16	20	32	56	86	2	22	52	68	100	8	28	40	58	88	12	22	64	86	100	2	6	54	70	98	2	10	64	80	100	8	28	44	58	88	4	24	46	82	96	8	30	38	52	88	12	22	56	84	100	2	6	54	70	98	4	6	54	76	94	2	26	48	70	100	14	14	42	90	96	2	22	52	76	100	12	18	32	64	98	16	20	38	72	86	8	34	58	74	100	4	24	46	82	96	2	16	32	44	78
1	10	16	24	84	96	8	28	52	64	100	2	30	46	74	94	8	26	54	68	92	2	16	38	56	100	4	30	44	76	94	8	26	54	70	100	2	10	24	48	96	4	30	44	76	94	8	20	54	70	96	14	16	42	56	100	2	30	46	74	94	8	20	50	70	96	2	32	48	72	100	4	4	36	74	94	10	16	52	84	96	8	26	50	60	100	2	30	46	74	94	8	16	28	60	96	22	22	42	86	90	2	32	48	74	100	8	28	50	64	100	4	30	62	80	94	2	10	20	36	96	2	30	46	74	94	8	26	50	64	100	10	16	24	70	96	8	26	50	64	100	4	32	62	80	94	2	10	20	36	96	10	10	18	20	96	2	30	50	74	100	68	68	70	84	92	2	16	40	72	100	4	26	46	74	94	8	28	54	60	90	4	34	46	74	100	10	16	24	84	96	2	22	50	58	90
1	18	24	32	68	100	4	20	42	58	84	2	38	74	86	98	10	20	40	58	84	2	26	52	80	100	4	12	60	74	98	6	22	40	56	96	2	52	80	92	100	4	14	66	76	98	4	16	40	64	100	6	24	34	54	96	2	38	70	82	98	4	20	36	64	100	2	14	52	70	92	12	38	76	90	98	4	18	32	68	100	6	20	40	50	84	2	38	74	86	98	10	26	40	64	100	4	4	20	22	72	2	34	60	80	98	4	20	42	58	94	14	38	70	76	86	2	24	52	80	100	2	38	70	82	98	4	16	40	54	84	18	24	32	68	100	6	22	42	54	84	4	14	70	76	94	2	24	52	80	100	18	24	30	56	100	2	22	50	72	98	0	0	0	0	0	2	24	46	74	100	12	22	60	76	98	4	10	40	58	84	6	34	62	76	98	18	24	32	68	100	2	16	44	60	92
