label	hydrophobicity_PRAM900101.1.residue0	hydrophobicity_PRAM900101.1.residue25	hydrophobicity_PRAM900101.1.residue50	hydrophobicity_PRAM900101.1.residue75	hydrophobicity_PRAM900101.1.residue100	hydrophobicity_PRAM900101.2.residue0	hydrophobicity_PRAM900101.2.residue25	hydrophobicity_PRAM900101.2.residue50	hydrophobicity_PRAM900101.2.residue75	hydrophobicity_PRAM900101.2.residue100	hydrophobicity_PRAM900101.3.residue0	hydrophobicity_PRAM900101.3.residue25	hydrophobicity_PRAM900101.3.residue50	hydrophobicity_PRAM900101.3.residue75	hydrophobicity_PRAM900101.3.residue100	hydrophobicity_ARGP820101.1.residue0	hydrophobicity_ARGP820101.1.residue25	hydrophobicity_ARGP820101.1.residue50	hydrophobicity_ARGP820101.1.residue75	hydrophobicity_ARGP820101.1.residue100	hydrophobicity_ARGP820101.2.residue0	hydrophobicity_ARGP820101.2.residue25	hydrophobicity_ARGP820101.2.residue50	hydrophobicity_ARGP820101.2.residue75	hydrophobicity_ARGP820101.2.residue100	hydrophobicity_ARGP820101.3.residue0	hydrophobicity_ARGP820101.3.residue25	hydrophobicity_ARGP820101.3.residue50	hydrophobicity_ARGP820101.3.residue75	hydrophobicity_ARGP820101.3.residue100	hydrophobicity_ZIMJ680101.1.residue0	hydrophobicity_ZIMJ680101.1.residue25	hydrophobicity_ZIMJ680101.1.residue50	hydrophobicity_ZIMJ680101.1.residue75	hydrophobicity_ZIMJ680101.1.residue100	hydrophobicity_ZIMJ680101.2.residue0	hydrophobicity_ZIMJ680101.2.residue25	hydrophobicity_ZIMJ680101.2.residue50	hydrophobicity_ZIMJ680101.2.residue75	hydrophobicity_ZIMJ680101.2.residue100	hydrophobicity_ZIMJ680101.3.residue0	hydrophobicity_ZIMJ680101.3.residue25	hydrophobicity_ZIMJ680101.3.residue50	hydrophobicity_ZIMJ680101.3.residue75	hydrophobicity_ZIMJ680101.3.residue100	hydrophobicity_PONP930101.1.residue0	hydrophobicity_PONP930101.1.residue25	hydrophobicity_PONP930101.1.residue50	hydrophobicity_PONP930101.1.residue75	hydrophobicity_PONP930101.1.residue100	hydrophobicity_PONP930101.2.residue0	hydrophobicity_PONP930101.2.residue25	hydrophobicity_PONP930101.2.residue50	hydrophobicity_PONP930101.2.residue75	hydrophobicity_PONP930101.2.residue100	hydrophobicity_PONP930101.3.residue0	hydrophobicity_PONP930101.3.residue25	hydrophobicity_PONP930101.3.residue50	hydrophobicity_PONP930101.3.residue75	hydrophobicity_PONP930101.3.residue100	hydrophobicity_CASG920101.1.residue0	hydrophobicity_CASG920101.1.residue25	hydrophobicity_CASG920101.1.residue50	hydrophobicity_CASG920101.1.residue75	hydrophobicity_CASG920101.1.residue100	hydrophobicity_CASG920101.2.residue0	hydrophobicity_CASG920101.2.residue25	hydrophobicity_CASG920101.2.residue50	hydrophobicity_CASG920101.2.residue75	hydrophobicity_CASG920101.2.residue100	hydrophobicity_CASG920101.3.residue0	hydrophobicity_CASG920101.3.residue25	hydrophobicity_CASG920101.3.residue50	hydrophobicity_CASG920101.3.residue75	hydrophobicity_CASG920101.3.residue100	hydrophobicity_ENGD860101.1.residue0	hydrophobicity_ENGD860101.1.residue25	hydrophobicity_ENGD860101.1.residue50	hydrophobicity_ENGD860101.1.residue75	hydrophobicity_ENGD860101.1.residue100	hydrophobicity_ENGD860101.2.residue0	hydrophobicity_ENGD860101.2.residue25	hydrophobicity_ENGD860101.2.residue50	hydrophobicity_ENGD860101.2.residue75	hydrophobicity_ENGD860101.2.residue100	hydrophobicity_ENGD860101.3.residue0	hydrophobicity_ENGD860101.3.residue25	hydrophobicity_ENGD860101.3.residue50	hydrophobicity_ENGD860101.3.residue75	hydrophobicity_ENGD860101.3.residue100	hydrophobicity_FASG890101.1.residue0	hydrophobicity_FASG890101.1.residue25	hydrophobicity_FASG890101.1.residue50	hydrophobicity_FASG890101.1.residue75	hydrophobicity_FASG890101.1.residue100	hydrophobicity_FASG890101.2.residue0	hydrophobicity_FASG890101.2.residue25	hydrophobicity_FASG890101.2.residue50	hydrophobicity_FASG890101.2.residue75	hydrophobicity_FASG890101.2.residue100	hydrophobicity_FASG890101.3.residue0	hydrophobicity_FASG890101.3.residue25	hydrophobicity_FASG890101.3.residue50	hydrophobicity_FASG890101.3.residue75	hydrophobicity_FASG890101.3.residue100	normwaalsvolume.1.residue0	normwaalsvolume.1.residue25	normwaalsvolume.1.residue50	normwaalsvolume.1.residue75	normwaalsvolume.1.residue100	normwaalsvolume.2.residue0	normwaalsvolume.2.residue25	normwaalsvolume.2.residue50	normwaalsvolume.2.residue75	normwaalsvolume.2.residue100	normwaalsvolume.3.residue0	normwaalsvolume.3.residue25	normwaalsvolume.3.residue50	normwaalsvolume.3.residue75	normwaalsvolume.3.residue100	polarity.1.residue0	polarity.1.residue25	polarity.1.residue50	polarity.1.residue75	polarity.1.residue100	polarity.2.residue0	polarity.2.residue25	polarity.2.residue50	polarity.2.residue75	polarity.2.residue100	polarity.3.residue0	polarity.3.residue25	polarity.3.residue50	polarity.3.residue75	polarity.3.residue100	polarizability.1.residue0	polarizability.1.residue25	polarizability.1.residue50	polarizability.1.residue75	polarizability.1.residue100	polarizability.2.residue0	polarizability.2.residue25	polarizability.2.residue50	polarizability.2.residue75	polarizability.2.residue100	polarizability.3.residue0	polarizability.3.residue25	polarizability.3.residue50	polarizability.3.residue75	polarizability.3.residue100	charge.1.residue0	charge.1.residue25	charge.1.residue50	charge.1.residue75	charge.1.residue100	charge.2.residue0	charge.2.residue25	charge.2.residue50	charge.2.residue75	charge.2.residue100	charge.3.residue0	charge.3.residue25	charge.3.residue50	charge.3.residue75	charge.3.residue100	secondarystruct.1.residue0	secondarystruct.1.residue25	secondarystruct.1.residue50	secondarystruct.1.residue75	secondarystruct.1.residue100	secondarystruct.2.residue0	secondarystruct.2.residue25	secondarystruct.2.residue50	secondarystruct.2.residue75	secondarystruct.2.residue100	secondarystruct.3.residue0	secondarystruct.3.residue25	secondarystruct.3.residue50	secondarystruct.3.residue75	secondarystruct.3.residue100	solventaccess.1.residue0	solventaccess.1.residue25	solventaccess.1.residue50	solventaccess.1.residue75	solventaccess.1.residue100	solventaccess.2.residue0	solventaccess.2.residue25	solventaccess.2.residue50	solventaccess.2.residue75	solventaccess.2.residue100	solventaccess.3.residue0	solventaccess.3.residue25	solventaccess.3.residue50	solventaccess.3.residue75	solventaccess.3.residue100
1	8	26	48	70	94	4	16	36	54	92	2	30	72	82	100	4	18	38	66	94	10	16	44	70	100	2	42	60	76	98	4	16	36	58	94	30	30	70	78	100	2	42	60	76	98	4	22	40	66	94	6	10	16	44	80	2	30	60	82	100	4	18	40	66	94	10	24	44	60	100	2	46	72	82	98	8	28	56	66	94	4	10	22	44	92	2	30	72	82	100	14	22	40	70	94	4	12	34	62	92	2	30	52	78	100	4	12	36	64	94	8	28	46	76	100	2	24	60	70	96	2	30	60	82	100	4	12	32	50	92	8	26	48	70	94	4	12	36	54	94	8	28	48	76	100	2	24	60	70	96	70	70	70	70	70	2	22	48	72	100	14	14	40	74	94	10	16	36	44	90	2	30	60	82	100	6	22	48	64	94	2	16	46	78	100	8	26	48	70	94	4	22	38	60	92
1	2	6	46	80	100	12	26	44	68	96	10	28	56	70	94	2	14	42	74	98	20	36	44	58	100	10	26	64	72	94	2	16	44	74	100	20	22	40	56	96	10	26	64	72	94	2	14	46	76	98	16	22	38	54	100	10	28	56	70	94	2	16	46	76	100	10	36	56	72	96	24	24	24	48	64	2	8	46	80	100	12	30	42	60	92	10	28	56	70	94	2	20	58	82	100	6	14	26	52	88	10	28	48	70	96	8	26	42	66	92	2	18	48	78	98	20	22	50	58	100	10	28	56	70	94	12	26	42	66	92	2	8	46	82	100	8	16	42	60	92	2	18	48	78	98	20	22	50	58	100	20	20	50	58	100	6	26	48	70	96	2	4	46	82	98	2	22	50	80	100	14	24	48	64	88	6	16	32	66	92	10	28	44	64	94	2	6	46	80	100	12	26	52	74	96
1	2	18	38	58	100	6	28	56	74	96	4	8	24	64	98	2	20	48	72	100	6	28	54	74	98	4	8	24	60	88	2	28	48	72	100	6	6	64	80	98	4	8	24	60	88	2	20	44	58	100	6	28	54	72	96	4	10	30	70	98	2	20	50	76	100	4	22	42	70	98	0	0	0	0	0	2	18	50	70	100	12	40	48	72	96	4	8	24	64	98	2	18	48	58	100	12	32	68	76	96	4	22	42	70	98	12	40	56	74	96	2	20	34	78	100	6	10	38	60	90	4	10	30	70	98	12	40	56	76	96	2	16	36	58	100	12	28	48	72	96	2	20	36	78	100	6	10	38	60	90	16	16	38	54	90	2	26	48	74	98	14	14	18	58	100	2	20	40	62	100	10	22	64	80	98	12	32	48	72	96	4	26	56	80	98	2	18	38	58	100	6	10	48	70	88
1	10	18	56	78	98	2	8	58	70	100	4	26	46	54	94	10	38	64	78	100	2	14	32	58	96	4	22	36	62	94	2	24	64	78	100	14	20	32	50	80	4	22	36	62	94	8	24	56	78	100	2	2	18	68	96	4	26	46	62	94	8	24	56	78	100	2	26	48	62	94	4	4	12	46	82	8	18	44	78	98	2	6	64	70	100	4	26	46	54	94	10	18	60	72	100	8	16	42	84	98	2	22	46	62	94	2	8	60	70	100	4	26	48	76	98	14	18	46	66	96	4	26	46	62	94	2	6	38	70	100	10	18	56	78	98	2	6	64	70	100	4	24	44	72	98	14	18	46	66	96	14	14	18	32	96	2	26	48	74	100	10	10	56	60	72	2	18	40	72	96	4	20	46	54	92	8	34	60	78	100	2	20	46	62	94	10	18	56	78	98	8	22	58	70	100
1	6	14	50	74	100	4	20	38	60	96	2	28	48	72	94	4	10	42	60	100	2	20	48	80	92	18	28	62	72	94	4	16	50	66	100	2	12	36	74	88	18	28	62	72	94	4	16	42	74	100	10	20	44	58	92	2	28	62	72	94	4	16	42	60	100	2	24	68	86	94	28	28	46	62	72	6	20	50	74	100	4	10	34	54	96	2	28	48	72	94	4	12	42	60	100	10	22	38	54	96	2	28	62	78	94	4	16	38	60	96	2	18	42	70	100	12	30	58	74	88	2	28	62	72	94	4	16	38	54	96	6	14	50	74	100	4	16	44	60	96	2	24	42	70	100	12	30	58	74	88	12	12	30	58	84	2	28	48	72	96	6	6	26	82	100	6	20	56	84	100	2	28	48	64	96	4	16	34	54	82	2	24	46	70	94	6	14	50	74	100	4	20	52	76	96
1	12	24	46	66	100	2	18	52	76	96	10	26	40	64	94	12	32	52	74	98	2	20	40	78	100	6	22	48	68	94	2	32	52	80	100	4	14	30	40	84	6	22	48	68	94	6	20	42	66	98	2	18	50	82	100	10	26	48	68	94	6	24	52	76	100	2	14	40	72	94	48	48	48	48	64	4	20	46	68	100	2	18	52	80	96	10	26	40	64	94	12	24	50	74	100	6	18	34	54	96	2	14	44	70	94	2	18	46	76	96	10	26	48	70	98	4	24	50	68	100	10	26	48	68	94	2	18	52	76	96	4	20	46	66	100	2	18	46	74	96	6	22	42	70	98	4	24	50	68	100	20	24	50	60	100	2	22	48	74	96	12	12	32	66	98	2	24	44	72	100	14	14	48	64	78	6	18	46	74	96	2	18	44	72	96	12	24	46	66	100	4	6	52	74	92
1	2	20	42	74	100	4	28	56	80	98	8	16	46	58	82	12	34	50	80	100	2	14	48	70	96	4	10	26	58	82	6	28	50	78	100	2	2	48	70	96	4	10	26	60	82	2	34	62	78	100	6	24	54	80	92	4	16	36	58	82	2	28	50	80	100	4	18	36	54	88	8	8	58	60	82	2	20	42	74	100	8	28	56	80	98	10	18	46	60	82	2	12	42	62	96	20	32	74	90	100	4	16	46	60	88	14	32	64	80	98	10	20	42	72	100	2	6	24	48	96	4	16	36	58	82	14	32	64	80	98	2	20	42	74	100	14	32	56	80	98	10	22	50	72	100	2	6	24	48	96	2	2	6	24	96	4	26	52	74	100	40	40	40	40	44	2	18	42	56	96	4	16	58	72	98	20	38	68	84	100	8	18	54	70	92	2	20	42	74	100	4	26	46	68	98
1	2	20	48	68	98	6	18	42	64	100	8	22	46	82	96	2	20	48	74	98	6	10	30	62	96	8	32	50	76	100	2	20	48	68	98	10	10	10	46	96	8	32	50	76	100	2	18	42	78	100	6	14	56	66	90	8	32	46	76	96	2	24	54	74	100	6	14	38	56	96	8	8	44	82	92	2	20	48	72	100	6	18	42	64	90	8	22	46	82	96	2	20	40	64	98	16	58	74	80	100	6	22	44	70	96	6	18	42	64	100	2	20	48	80	98	10	30	38	62	92	8	32	46	76	96	6	18	42	64	100	2	16	48	68	98	6	18	40	60	90	2	22	52	82	100	10	30	38	62	92	30	30	30	62	66	4	26	50	76	100	2	2	24	34	94	2	14	30	66	98	8	36	50	72	96	12	18	42	78	100	6	22	52	76	96	2	20	48	68	98	10	18	40	58	100
1	8	16	36	60	100	2	30	52	78	94	4	14	40	66	96	8	24	38	60	100	2	22	66	86	98	4	12	40	68	88	2	26	52	74	100	20	22	46	66	96	4	12	40	68	88	6	24	42	62	100	2	16	74	90	98	4	14	40	66	96	6	24	44	64	100	2	14	54	82	96	20	20	20	20	20	6	22	44	68	100	2	26	52	78	94	4	14	40	66	96	8	18	32	62	100	6	34	44	64	88	2	20	54	82	96	2	24	50	76	94	4	28	46	70	100	16	16	22	54	98	4	14	40	66	96	2	30	52	78	94	8	16	36	60	100	2	24	50	74	94	4	28	46	70	100	16	16	22	54	98	16	16	16	22	98	2	28	52	76	100	8	8	10	32	60	2	16	56	86	100	20	28	46	66	96	6	24	38	64	88	2	20	64	82	96	8	16	36	60	100	6	26	44	58	88
1	4	10	56	80	100	2	20	38	66	98	8	26	48	68	92	4	16	40	72	96	10	34	50	70	100	2	22	46	74	98	4	20	52	78	100	10	10	34	50	70	2	22	46	74	98	2	12	40	74	98	14	32	52	80	100	8	28	50	68	92	2	18	52	78	100	14	26	42	66	92	8	8	46	62	82	2	18	56	80	100	12	20	40	62	90	8	26	48	68	92	4	12	56	86	100	2	18	36	58	98	8	28	48	68	92	2	20	38	58	98	4	18	48	68	96	10	34	62	80	100	8	28	50	68	92	2	20	38	72	98	4	10	56	80	100	12	20	40	58	90	2	18	48	74	98	10	34	62	80	100	10	10	56	80	100	2	24	46	70	98	4	4	4	44	96	4	22	54	80	100	8	40	50	62	84	2	16	30	72	98	8	22	46	62	92	4	10	56	80	100	2	24	36	70	98
