label	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10	Xc2.lambda11	Xc2.lambda12	Xc2.lambda13	Xc2.lambda14	Xc2.lambda15	Xc2.lambda16	Xc2.lambda17	Xc2.lambda18	Xc2.lambda19	Xc2.lambda20	Xc2.lambda21	Xc2.lambda22	Xc2.lambda23	Xc2.lambda24	Xc2.lambda25	Xc2.lambda26	Xc2.lambda27	Xc2.lambda28	Xc2.lambda29	Xc2.lambda30
1	0.784506382	0.261502127	0.523004255	1.307510637	0	0	0.261502127	1.04600851	0.261502127	0.784506382	1.569012765	1.307510637	0.261502127	0.784506382	0.261502127	1.830514892	0.523004255	0	0.784506382	0.523004255	0.022959285	0.029334013	0.029086104	0.023199532	0.026972957	0.022980152	0.025353982	0.02183417	0.021370866	0.019672016	0.026537795	0.023113089	0.02132445	0.02212072	0.031474042	0.028711962	0.025615385	0.023314587	0.025698272	0.021799412	0.023545733	0.024401403	0.022521028	0.028550045	0.034838035	0.020375236	0.020475237	0.024917816	0.026311726	0.02008882
1	0.216295316	0.648885949	0.216295316	0.432590632	0	0.216295316	1.514067213	0.216295316	0.216295316	0.432590632	1.730362529	1.081476581	0.432590632	0.648885949	0.432590632	0.432590632	0.648885949	0.648885949	0.216295316	0.432590632	0.027263043	0.022932008	0.027519794	0.020774126	0.027543048	0.025353296	0.024773928	0.024551487	0.031792942	0.021980788	0.024500967	0.023722129	0.025405471	0.02468237	0.029499002	0.028066754	0.028273718	0.028113697	0.027326544	0.025557346	0.029660887	0.028381881	0.02915028	0.020367815	0.02846442	0.021291311	0.029390706	0.026354197	0.026049521	0.024961208
1	1.824508769	1.04257644	0.52128822	0.26064411	0	0.52128822	0.26064411	0.78193233	0	0.52128822	2.085152879	0.26064411	0.78193233	0.26064411	0.26064411	1.56386466	0.26064411	0	0.52128822	1.30322055	0.023120168	0.026164827	0.021408542	0.017932303	0.024268961	0.020713655	0.021963709	0.025380607	0.023429012	0.016618209	0.022568891	0.028781264	0.023319292	0.023971008	0.027455787	0.026458007	0.024233398	0.032667018	0.028183851	0.027353452	0.021777435	0.028506983	0.029812951	0.026236159	0.024501528	0.022128202	0.027573494	0.026714917	0.025383305	0.020728954
1	0.602935033	0	1.205870066	0.602935033	0.602935033	1.205870066	1.808805099	0.90440255	0.602935033	1.808805099	1.808805099	0.602935033	0.90440255	0.301467517	0.602935033	0.301467517	0	0	0.602935033	0.602935033	0.020855907	0.02366619	0.021692267	0.021526759	0.019281937	0.023801839	0.025983162	0.027689573	0.02529656	0.022507874	0.026034492	0.030115679	0.028047486	0.025950739	0.026438316	0.024783009	0.02299931	0.024858946	0.025176683	0.021689737	0.018562631	0.026424037	0.02274558	0.020508699	0.020934807	0.014795015	0.02478687	0.021623538	0.021848733	0.017906109
1	1.353069683	0.966478345	0.193295669	0.773182676	0	0.193295669	0.773182676	0.966478345	0	0.193295669	1.739661021	0	0.579887007	0.386591338	0	0.193295669	0.579887007	0.579887007	0	0.193295669	0.020395885	0.023101689	0.017336996	0.021398809	0.02220091	0.020979338	0.02229168	0.02716964	0.022578104	0.024412947	0.027111246	0.025830861	0.025106056	0.029856325	0.030379235	0.027875546	0.031902943	0.033250324	0.03119436	0.030664606	0.031187975	0.031435173	0.031023117	0.034532031	0.027853452	0.029108505	0.029055096	0.024179234	0.024865837	0.028426411
1	1.336069897	1.908671282	0	0.190867128	0	0.381734256	0.763468513	0.381734256	0.381734256	0.190867128	1.145202769	0	0.190867128	0.381734256	0.763468513	0.572601385	0.190867128	0.381734256	0	0.381734256	0.024270121	0.030078992	0.02663762	0.024614906	0.026767987	0.033019356	0.028902907	0.027420259	0.026138028	0.028208424	0.022747266	0.023068794	0.033513576	0.025493534	0.026037311	0.029889656	0.036839419	0.029407972	0.026062425	0.029868232	0.025826547	0.026356633	0.017446447	0.027026579	0.02490403	0.021729076	0.028881494	0.031220288	0.025952007	0.020802986
1	2.033731416	1.129850787	0.225970157	0.677910472	0	0.677910472	0.677910472	1.129850787	0	0	2.033731416	0.225970157	0.451940315	0.225970157	0	0.677910472	0.225970157	0.225970157	0	0.677910472	0.022618045	0.023610924	0.03061841	0.022436515	0.024042207	0.017370726	0.025739865	0.027090701	0.027811712	0.023707357	0.020455326	0.026531764	0.022260536	0.030084075	0.025470071	0.023974746	0.02341011	0.02594302	0.025640913	0.029037608	0.028349465	0.03083216	0.028523158	0.023089978	0.026707549	0.026089561	0.029562064	0.034944755	0.026470495	0.021606025
1	0.723423989	0.964565318	0.482282659	0	0.24114133	0.723423989	0.482282659	0.723423989	0.482282659	0.723423989	1.687989307	0.964565318	0.482282659	0.24114133	0.482282659	0.482282659	0.482282659	0	0.723423989	0.964565318	0.021739693	0.025099278	0.025563794	0.024951476	0.026985941	0.020500407	0.023893852	0.024913809	0.022376978	0.021014486	0.026148106	0.025488204	0.026226595	0.027149127	0.023482243	0.024580588	0.027984088	0.025348382	0.024998932	0.026921194	0.02092456	0.02588465	0.02639192	0.025336316	0.026386881	0.030720628	0.024997478	0.021308392	0.032544256	0.028996419
1	2.963178074	0	0.658484016	0	0	2.633936066	0.658484016	1.316968033	0	0.329242008	0.987726025	0.658484016	1.646210041	0.329242008	0	0.658484016	1.316968033	0.329242008	0	1.975452049	0.025161139	0.024239492	0.018633812	0.023266996	0.019027429	0.021871096	0.021054557	0.022588619	0.021888733	0.015600397	0.023651865	0.024111298	0.023632826	0.0238228	0.020504134	0.025016189	0.019312349	0.022329265	0.026474437	0.020251981	0.023874908	0.023649272	0.018799461	0.022956222	0.022629683	0.023050134	0.023946578	0.023345931	0.025047365	0.021019025
1	1.113110656	1.113110656	0	0.445244262	0	0.222622131	0.445244262	0.667866394	0	0.445244262	1.335732787	0.890488525	0.445244262	0.667866394	0.667866394	0.890488525	0.667866394	0	0.222622131	0.890488525	0.02544442	0.029658319	0.025069865	0.024207854	0.031183469	0.021923968	0.017985473	0.025293512	0.031391388	0.028245429	0.024578331	0.031089231	0.02565302	0.021409458	0.023879327	0.031673294	0.022404286	0.022997431	0.027839456	0.023835363	0.01971215	0.028081167	0.02845567	0.024813265	0.025563829	0.026405077	0.034065529	0.024628459	0.023598467	0.026291362
1	1.491689412	0.994459608	0.248614902	0.745844706	0.497229804	0.994459608	0	0.497229804	0	0.248614902	1.491689412	0.497229804	0.994459608	0	0.745844706	0.745844706	0.248614902	0.497229804	0.497229804	0.994459608	0.025317425	0.022617987	0.025114454	0.024341327	0.019801199	0.022203112	0.022934364	0.027612193	0.026444349	0.026220001	0.029241793	0.031546566	0.026868306	0.02336804	0.026612939	0.022911672	0.03014284	0.025096853	0.023266074	0.024520314	0.014652686	0.029785899	0.024452483	0.023431064	0.02450415	0.026701302	0.025125459	0.023935536	0.026046153	0.026568564
