label	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10	Xc2.lambda11	Xc2.lambda12	Xc2.lambda13	Xc2.lambda14	Xc2.lambda15	Xc2.lambda16	Xc2.lambda17	Xc2.lambda18	Xc2.lambda19	Xc2.lambda20	Xc2.lambda21	Xc2.lambda22	Xc2.lambda23	Xc2.lambda24	Xc2.lambda25	Xc2.lambda26	Xc2.lambda27	Xc2.lambda28	Xc2.lambda29	Xc2.lambda30
1	1.422749823	0	1.991849752	0.853649894	0	0	1.138199858	1.138199858	0	1.138199858	0.569099929	0.284549965	0	1.138199858	0.284549965	0.569099929	1.138199858	0	1.422749823	1.138199858	0.029257224	0.01834284	0.025383132	0.023361982	0.026338659	0.025112548	0.024409839	0.023339894	0.026597368	0.022243345	0.02327178	0.024384143	0.020125036	0.022478743	0.022338152	0.020764197	0.024571741	0.019990379	0.025123401	0.024256812	0.023931079	0.023936426	0.026162299	0.024125879	0.026929011	0.023207588	0.023240763	0.024261453	0.022139192	0.025825131
1	0.580288145	0.580288145	0.580288145	0.290144073	0	0	2.031008508	0.870432218	0.580288145	0.870432218	1.740864436	0.580288145	0.580288145	0	0.580288145	2.321152581	1.16057629	0	0.290144073	0.870432218	0.021193209	0.023698294	0.025026309	0.018338073	0.022719966	0.024167447	0.024924324	0.020248177	0.023854758	0.02584825	0.023489298	0.021740455	0.0252445	0.026857855	0.023259253	0.021644297	0.027777872	0.03052242	0.020249197	0.022533323	0.023524053	0.025056853	0.022677311	0.023450051	0.020062983	0.027732161	0.018783604	0.027447114	0.023402637	0.024381881
1	2.416766735	1.208383367	0.483353347	0.483353347	0	1.691736714	0.483353347	1.208383367	0.241676673	0	0.966706694	0	0	0	0.483353347	0.483353347	0	0	0.72503002	1.208383367	0.022199786	0.024590975	0.030258985	0.02887355	0.027332266	0.027438801	0.025954213	0.021374872	0.022923942	0.022175816	0.023502336	0.025461843	0.0304683	0.025341552	0.027687532	0.028807836	0.029844305	0.026617082	0.019627898	0.021600432	0.023401247	0.025919744	0.023298487	0.027036698	0.029575552	0.020546923	0.022640958	0.021302967	0.028471555	0.024046871
1	1.130417545	0.565208773	1.978230705	0.282604386	0	0.565208773	0.847813159	0	0.282604386	0.847813159	2.260835091	0.847813159	0	0.565208773	0.565208773	0.847813159	0.565208773	0	0.565208773	1.413021932	0.026033051	0.021556367	0.025620935	0.022934586	0.026494385	0.026091581	0.024374166	0.022113539	0.02183891	0.020370303	0.025515839	0.018038109	0.022278837	0.023429256	0.027777141	0.024214899	0.025248505	0.022283565	0.023096559	0.019718294	0.021349794	0.027407766	0.018563254	0.02461579	0.029202112	0.028457194	0.022736464	0.026262637	0.022010728	0.027761048
1	0.233696402	0.934785609	0.233696402	0.233696402	0	0.233696402	1.402178414	1.168482012	0.467392805	0.467392805	1.402178414	0.701089207	0.701089207	0.701089207	0.701089207	0.701089207	0.467392805	0	0.233696402	0.701089207	0.024769667	0.029269199	0.025380643	0.023230152	0.02811078	0.030063917	0.028752815	0.019399621	0.02284594	0.029164633	0.025165753	0.021433191	0.021399517	0.027711948	0.026341938	0.024882472	0.029350252	0.029353725	0.026104403	0.031180279	0.022984569	0.016602276	0.026488171	0.025600818	0.024572539	0.023509925	0.0228119	0.031685204	0.024121948	0.024015404
1	1.320665592	1.320665592	0	0.440221864	0	0.220110932	1.10055466	1.10055466	0.440221864	0.440221864	1.540776524	0.440221864	0.220110932	0	0.660332796	0.660332796	0.220110932	0	0.220110932	0.660332796	0.026736074	0.028754782	0.029034075	0.017658769	0.026287884	0.031012723	0.030107092	0.02206145	0.027292901	0.030177354	0.027835932	0.025632581	0.021447236	0.032171408	0.025510713	0.024665762	0.022826809	0.025714245	0.02665682	0.023080725	0.022838087	0.027300027	0.027656224	0.028926957	0.025551561	0.02496575	0.023108616	0.031603873	0.019042009	0.024230627
1	1.828821383	0.522520395	1.567561185	0.261260198	0	1.04504079	0.261260198	0.783780593	0	0.522520395	1.306300988	0.783780593	0.522520395	0.261260198	0.261260198	0.261260198	1.306300988	0.783780593	0.522520395	0.261260198	0.024004499	0.023860094	0.026719605	0.025559204	0.023330755	0.02245268	0.025206546	0.026534956	0.020488941	0.022972457	0.021985421	0.024830311	0.02439561	0.030812281	0.02851575	0.021966542	0.021280634	0.021460171	0.021304703	0.028509626	0.023342087	0.02411757	0.028684287	0.02895868	0.023041158	0.021419936	0.025854621	0.02061268	0.029608514	0.026909484
1	1.269466797	0.761680078	0.761680078	0.253893359	0	1.269466797	1.269466797	0.761680078	0.253893359	1.523360157	0.507786719	0	0	0.253893359	0.253893359	1.777253516	0.253893359	0	1.015573438	0.507786719	0.029465271	0.022113213	0.023244966	0.027375774	0.024234873	0.027334452	0.021162135	0.027097543	0.027011138	0.026635521	0.028534232	0.028381693	0.029624275	0.024309538	0.024166176	0.021343334	0.025477883	0.02156374	0.022499257	0.022855977	0.022188536	0.024164727	0.021161237	0.024451964	0.021375325	0.028536943	0.023743806	0.026350663	0.02789672	0.021805728
1	2.792694819	0.698173705	0.698173705	1.396347409	0.349086852	1.047260557	0.349086852	0.349086852	0	0	1.396347409	0.349086852	0.349086852	0	2.792694819	1.745434262	1.047260557	0	0	2.094521114	0.02201091	0.022512643	0.02060929	0.020772784	0.022007165	0.021504468	0.021108973	0.016195315	0.022919016	0.021261821	0.019406468	0.019073533	0.01709121	0.019969546	0.023151658	0.024783829	0.024054624	0.021065216	0.018375342	0.017102843	0.017381834	0.021219134	0.018124717	0.025793793	0.021159347	0.023907402	0.026152855	0.023964831	0.03083761	0.027394968
1	0.994820142	1.243525177	0.497410071	0.248705035	0	0.746115106	0.497410071	0.746115106	0	0.746115106	0.994820142	0.248705035	0.746115106	0.248705035	1.243525177	0.994820142	0.994820142	0.248705035	0.248705035	0.746115106	0.021850944	0.027317161	0.022663879	0.022946392	0.024706857	0.02604067	0.021151396	0.021180036	0.028398695	0.02172011	0.024302223	0.02392241	0.024024281	0.028918028	0.026971707	0.028541554	0.028524205	0.025690212	0.026177337	0.022930763	0.028503608	0.023207797	0.025085756	0.030453771	0.025593773	0.025793325	0.025882609	0.022341964	0.025606724	0.02084678
1	0.738925858	0.738925858	0.738925858	1.477851717	0	0.246308619	0.738925858	0.738925858	0.246308619	0.738925858	2.463086194	0.246308619	0.246308619	0.246308619	0.246308619	1.231543097	0	0	0.738925858	0.492617239	0.02728436	0.024154385	0.027066739	0.024912558	0.02544698	0.027938219	0.019048165	0.029884335	0.023341707	0.031896348	0.024696748	0.023410287	0.026638141	0.019059399	0.029326726	0.022457568	0.026689785	0.025179439	0.025256259	0.023395506	0.023673258	0.029391558	0.023039569	0.026409197	0.021391594	0.02374081	0.028711344	0.023501824	0.024502112	0.02224646
